spawn telnet localhost 3483
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:1544063, size:135808 
checkpoint:2, time:4391009, size:398592 
checkpoint:3, time:4171240, size:398592 
checkpoint:4, time:1418935, size:135808 
checkpoint:5, time:4170844, size:398592 
checkpoint:6, time:2829711, size:270976 
checkpoint:7, time:2830372, size:270976 
checkpoint:8, time:1417399, size:135808 
checkpoint:9, time:4167498, size:398592 
checkpoint:10, time:2829115, size:270976 
checkpoint:11, time:5648836, size:526080 
checkpoint:12, time:4176369, size:398592 
checkpoint:13, time:5539728, size:526080 
checkpoint:14, time:2830701, size:270976 
checkpoint:15, time:2832032, size:270976 
checkpoint:16, time:4170893, size:398592 
checkpoint:17, time:4171039, size:398592 
checkpoint:18, time:1418769, size:135808 
checkpoint:19, time:1414412, size:135808 
checkpoint:20, time:5539618, size:526080 
checkpoint:21, time:5538030, size:526080 
checkpoint:22, time:2831949, size:270976 
checkpoint:23, time:4169780, size:398592 
checkpoint:24, time:4176517, size:398592 
checkpoint:25, time:1419215, size:135808 
checkpoint:26, time:1416399, size:135808 
checkpoint:27, time:2829487, size:270976 
checkpoint:28, time:1417005, size:135808 
checkpoint:29, time:4171395, size:398592 
checkpoint:30, time:1418976, size:135808 
checkpoint:31, time:2827732, size:270976 
checkpoint:32, time:2829406, size:270976 
checkpoint:33, time:4167393, size:398592 
checkpoint:34, time:4172846, size:398592 
checkpoint:35, time:1417815, size:135808 
checkpoint:36, time:1417510, size:135808 
checkpoint:37, time:1417303, size:135808 
