spawn telnet localhost 3475
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:1946204, size:167872 
checkpoint:2, time:941547, size:85952 
checkpoint:3, time:3206225, size:286656 
checkpoint:4, time:2101934, size:192448 
checkpoint:5, time:1120272, size:102336 
checkpoint:6, time:940067, size:85952 
checkpoint:7, time:1920848, size:176064 
checkpoint:8, time:1120263, size:102336 
checkpoint:9, time:1833531, size:167872 
checkpoint:10, time:1116312, size:102336 
checkpoint:11, time:938253, size:85952 
checkpoint:12, time:1074092, size:98240 
checkpoint:13, time:1920369, size:176064 
checkpoint:14, time:1833372, size:167872 
checkpoint:15, time:3128106, size:286656 
checkpoint:16, time:2188249, size:200640 
checkpoint:17, time:2727107, size:249792 
checkpoint:18, time:1830649, size:167872 
checkpoint:19, time:984480, size:90048 
checkpoint:20, time:3269492, size:298944 
checkpoint:21, time:2860730, size:262080 
checkpoint:22, time:3830315, size:348096 
checkpoint:23, time:1031052, size:94144 
checkpoint:24, time:2098609, size:192448 
checkpoint:25, time:1075409, size:98240 
checkpoint:26, time:983508, size:90048 
checkpoint:27, time:3128324, size:286656 
checkpoint:28, time:3984074, size:364480 
checkpoint:29, time:938577, size:85952 
checkpoint:30, time:1832501, size:167872 
checkpoint:31, time:2101937, size:192448 
checkpoint:32, time:2101701, size:192448 
checkpoint:33, time:2012436, size:184256 
checkpoint:34, time:2101707, size:192448 
checkpoint:35, time:1120277, size:102336 
checkpoint:36, time:2101691, size:192448 
checkpoint:37, time:941253, size:85952 
checkpoint:38, time:1074801, size:98240 
checkpoint:39, time:3262611, size:298944 
checkpoint:40, time:2012681, size:184256 
checkpoint:41, time:1120258, size:102336 
checkpoint:42, time:1923432, size:176064 
checkpoint:43, time:1833954, size:167872 
checkpoint:44, time:941570, size:85952 
checkpoint:45, time:1073146, size:98240 
checkpoint:46, time:1031034, size:94144 
checkpoint:47, time:941547, size:85952 
checkpoint:48, time:2190926, size:200640 
checkpoint:49, time:4310424, size:393664 
checkpoint:50, time:2190828, size:200640 
checkpoint:51, time:4294964, size:393664 
checkpoint:52, time:1030839, size:94144 
checkpoint:53, time:2012468, size:184256 
checkpoint:54, time:3973809, size:364480 
checkpoint:55, time:1832951, size:167872 
checkpoint:56, time:2857451, size:262080 
checkpoint:57, time:3128751, size:286656 
checkpoint:58, time:4294963, size:393664 
checkpoint:59, time:2727177, size:249792 
checkpoint:60, time:1030186, size:94144 
checkpoint:61, time:2101712, size:192448 
checkpoint:62, time:2012677, size:184256 
checkpoint:63, time:2191185, size:200640 
checkpoint:64, time:2994907, size:274368 
checkpoint:65, time:1075659, size:98240 
checkpoint:66, time:1834208, size:167872 
checkpoint:67, time:1119836, size:102336 
checkpoint:68, time:938088, size:85952 
checkpoint:69, time:2012697, size:184256 
checkpoint:70, time:2012670, size:184256 
checkpoint:71, time:1075643, size:98240 
