spawn telnet localhost 3493
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, page_time:2978509, size_db:167936
checkpoint:2, page_time:1208533, size_db:86016
checkpoint:3, page_time:4534288, size_db:286720
checkpoint:4, page_time:2760071, size_db:192512
checkpoint:5, page_time:1439963, size_db:102400
checkpoint:6, page_time:1208603, size_db:86016
checkpoint:7, page_time:2524750, size_db:176128
checkpoint:8, page_time:1439918, size_db:102400
checkpoint:9, page_time:2383848, size_db:167936
checkpoint:10, page_time:1438361, size_db:102400
checkpoint:11, page_time:1207719, size_db:86016
checkpoint:12, page_time:3582327, size_db:249856
checkpoint:13, page_time:1266147, size_db:90112
checkpoint:14, page_time:2393830, size_db:167936
checkpoint:15, page_time:4121109, size_db:286720
checkpoint:16, page_time:1439915, size_db:102400
checkpoint:17, page_time:3582332, size_db:249856
checkpoint:18, page_time:1208552, size_db:86016
checkpoint:19, page_time:1266140, size_db:90112
checkpoint:20, page_time:2877524, size_db:200704
checkpoint:21, page_time:3756847, size_db:262144
checkpoint:22, page_time:3758900, size_db:262144
checkpoint:23, page_time:1323752, size_db:94208
checkpoint:24, page_time:1381278, size_db:98304
checkpoint:25, page_time:3582329, size_db:249856
checkpoint:26, page_time:3758943, size_db:262144
checkpoint:27, page_time:4119991, size_db:286720
checkpoint:28, page_time:3939408, size_db:274432
checkpoint:29, page_time:4940737, size_db:331776
checkpoint:30, page_time:1207183, size_db:86016
checkpoint:31, page_time:1381265, size_db:98304
checkpoint:32, page_time:1381220, size_db:98304
checkpoint:33, page_time:1323679, size_db:94208
checkpoint:34, page_time:1381222, size_db:98304
checkpoint:35, page_time:4121132, size_db:286720
checkpoint:36, page_time:1381218, size_db:98304
checkpoint:37, page_time:1207144, size_db:86016
checkpoint:38, page_time:1265979, size_db:90112
checkpoint:39, page_time:4304939, size_db:299008
checkpoint:40, page_time:1323742, size_db:94208
checkpoint:41, page_time:3939410, size_db:274432
checkpoint:42, page_time:1266142, size_db:90112
checkpoint:43, page_time:1208327, size_db:86016
checkpoint:44, page_time:5077623, size_db:348160
checkpoint:45, page_time:1266079, size_db:90112
checkpoint:46, page_time:5928542, size_db:397312
checkpoint:47, page_time:1208541, size_db:86016
checkpoint:48, page_time:1439913, size_db:102400
checkpoint:49, page_time:4304832, size_db:299008
checkpoint:50, page_time:1438927, size_db:102400
checkpoint:51, page_time:4305227, size_db:299008
checkpoint:52, page_time:1381248, size_db:98304
checkpoint:53, page_time:1322411, size_db:94208
checkpoint:54, page_time:3939063, size_db:274432
checkpoint:55, page_time:1208660, size_db:86016
checkpoint:56, page_time:1266248, size_db:90112
checkpoint:57, page_time:2757990, size_db:192512
checkpoint:58, page_time:4305198, size_db:299008
checkpoint:59, page_time:2405652, size_db:167936
checkpoint:60, page_time:2840150, size_db:200704
checkpoint:61, page_time:1381282, size_db:98304
checkpoint:62, page_time:4121100, size_db:286720
checkpoint:63, page_time:1439807, size_db:102400
checkpoint:64, page_time:2641362, size_db:184320
checkpoint:65, page_time:1266240, size_db:90112
checkpoint:66, page_time:1207909, size_db:86016
checkpoint:67, page_time:1381126, size_db:98304
checkpoint:68, page_time:3582358, size_db:249856
checkpoint:69, page_time:1323730, size_db:94208
checkpoint:70, page_time:1322194, size_db:94208
checkpoint:71, page_time:3581527, size_db:249856
checkpoint:72, page_time:2523539, size_db:176128
checkpoint:73, page_time:3758942, size_db:262144
checkpoint:74, page_time:1323301, size_db:94208
checkpoint:75, page_time:4305202, size_db:299008
checkpoint:76, page_time:1208598, size_db:86016
checkpoint:77, page_time:1323728, size_db:94208
checkpoint:78, page_time:1208495, size_db:86016
checkpoint:79, page_time:2877524, size_db:200704
checkpoint:80, page_time:3938301, size_db:274432
checkpoint:81, page_time:3582350, size_db:249856
checkpoint:82, page_time:1266085, size_db:90112
checkpoint:83, page_time:2760076, size_db:192512
checkpoint:84, page_time:1437661, size_db:102400
checkpoint:85, page_time:2525186, size_db:176128
checkpoint:86, page_time:2877534, size_db:200704
checkpoint:87, page_time:3938312, size_db:274432
checkpoint:88, page_time:1323723, size_db:94208
checkpoint:89, page_time:2519087, size_db:176128
checkpoint:90, page_time:2642630, size_db:184320
checkpoint:91, page_time:5261286, size_db:364544
checkpoint:92, page_time:2642641, size_db:184320
checkpoint:93, page_time:3939069, size_db:274432
checkpoint:94, page_time:1438297, size_db:102400
checkpoint:95, page_time:2640554, size_db:184320
checkpoint:96, page_time:2642677, size_db:184320
checkpoint:97, page_time:2754442, size_db:192512
checkpoint:98, page_time:2877567, size_db:200704
checkpoint:99, page_time:3581014, size_db:249856
checkpoint:100, page_time:1208601, size_db:86016
checkpoint:101, page_time:1322788, size_db:94208
checkpoint:102, page_time:1439827, size_db:102400
checkpoint:103, page_time:2519099, size_db:176128
checkpoint:104, page_time:4305214, size_db:299008
checkpoint:105, page_time:2642609, size_db:184320
