spawn telnet localhost 3456
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:16279, size:200 
checkpoint:2, time:10857, size:192 
checkpoint:3, time:17261, size:344 
checkpoint:4, time:15197, size:344 
checkpoint:5, time:22175, size:480 
checkpoint:6, time:19697, size:464 
checkpoint:7, time:25204, size:608 
checkpoint:8, time:22537, size:560 
checkpoint:9, time:29603, size:600 
checkpoint:10, time:30425, size:720 
checkpoint:11, time:29550, size:632 
checkpoint:12, time:19669, size:400 
checkpoint:13, time:10878, size:184 
checkpoint:14, time:10857, size:192 
checkpoint:15, time:15323, size:352 
checkpoint:16, time:15391, size:368 
checkpoint:17, time:15638, size:280 
checkpoint:18, time:21282, size:496 
checkpoint:19, time:19757, size:456 
checkpoint:20, time:22546, size:496 
checkpoint:21, time:24538, size:528 
checkpoint:22, time:27544, size:592 
checkpoint:23, time:28229, size:720 
checkpoint:24, time:28168, size:640 
checkpoint:25, time:10948, size:200 
checkpoint:26, time:10816, size:168 
checkpoint:27, time:10947, size:200 
checkpoint:28, time:15501, size:360 
checkpoint:29, time:15104, size:328 
checkpoint:30, time:19936, size:496 
checkpoint:31, time:20930, size:488 
checkpoint:32, time:23389, size:584 
checkpoint:33, time:23351, size:528 
checkpoint:34, time:24544, size:600 
checkpoint:35, time:27380, size:656 
checkpoint:36, time:29088, size:640 
checkpoint:37, time:19671, size:472 
checkpoint:38, time:10946, size:200 
checkpoint:39, time:10819, size:168 
checkpoint:40, time:10858, size:192 
checkpoint:41, time:15126, size:320 
checkpoint:42, time:15322, size:352 
checkpoint:43, time:20854, size:512 
checkpoint:44, time:18860, size:440 
checkpoint:45, time:22242, size:496 
checkpoint:46, time:24572, size:600 
checkpoint:47, time:28934, size:680 
checkpoint:48, time:26919, size:560 
checkpoint:49, time:28182, size:696 
checkpoint:50, time:15119, size:288 
checkpoint:51, time:10879, size:184 
checkpoint:52, time:10857, size:192 
checkpoint:53, time:16227, size:352 
checkpoint:54, time:15066, size:304 
checkpoint:55, time:19569, size:456 
checkpoint:56, time:19931, size:472 
checkpoint:57, time:19820, size:472 
checkpoint:58, time:23340, size:608 
checkpoint:59, time:22171, size:536 
checkpoint:60, time:26995, size:656 
checkpoint:61, time:28858, size:680 
checkpoint:62, time:23535, size:552 
checkpoint:63, time:11938, size:216 
checkpoint:64, time:10856, size:192 
checkpoint:65, time:10948, size:200 
checkpoint:66, time:15142, size:280 
checkpoint:67, time:15227, size:336 
checkpoint:68, time:19198, size:400 
checkpoint:69, time:19727, size:464 
checkpoint:70, time:24390, size:576 
checkpoint:71, time:24868, size:608 
checkpoint:72, time:24990, size:592 
checkpoint:73, time:27958, size:656 
checkpoint:74, time:27204, size:632 
checkpoint:75, time:19645, size:456 
checkpoint:76, time:10819, size:168 
checkpoint:77, time:10877, size:184 
checkpoint:78, time:10856, size:192 
checkpoint:79, time:15191, size:312 
checkpoint:80, time:15100, size:304 
checkpoint:81, time:18933, size:456 
checkpoint:82, time:19928, size:520 
checkpoint:83, time:24388, size:600 
checkpoint:84, time:25533, size:616 
checkpoint:85, time:27427, size:632 
checkpoint:86, time:27669, size:616 
checkpoint:87, time:29154, size:752 
checkpoint:88, time:15374, size:328 
checkpoint:89, time:10817, size:168 
checkpoint:90, time:10756, size:176 
checkpoint:91, time:15098, size:304 
checkpoint:92, time:15293, size:352 
checkpoint:93, time:19781, size:448 
checkpoint:94, time:19036, size:472 
checkpoint:95, time:19031, size:472 
checkpoint:96, time:24739, size:632 
checkpoint:97, time:25840, size:640 
checkpoint:98, time:27538, size:632 
checkpoint:99, time:27511, size:648 
checkpoint:100, time:24703, size:624 
checkpoint:101, time:10950, size:208 
checkpoint:102, time:10878, size:184 
checkpoint:103, time:10950, size:208 
checkpoint:104, time:15209, size:296 
checkpoint:105, time:15198, size:344 
checkpoint:106, time:19599, size:384 
checkpoint:107, time:19850, size:464 
checkpoint:108, time:23369, size:568 
checkpoint:109, time:23251, size:544 
checkpoint:110, time:28760, size:616 
checkpoint:111, time:29474, size:752 
checkpoint:112, time:28984, size:704 
checkpoint:113, time:19120, size:352 
checkpoint:114, time:10878, size:184 
checkpoint:115, time:10819, size:168 
checkpoint:116, time:15200, size:344 
checkpoint:117, time:16606, size:376 
checkpoint:118, time:15248, size:328 
checkpoint:119, time:19845, size:488 
checkpoint:120, time:19649, size:408 
checkpoint:121, time:23226, size:608 
checkpoint:122, time:23631, size:568 
checkpoint:123, time:28866, size:704 
checkpoint:124, time:27980, size:672 
checkpoint:125, time:27743, size:688 
checkpoint:126, time:15229, size:336 
checkpoint:127, time:10946, size:200 
checkpoint:128, time:10858, size:192 
checkpoint:129, time:17692, size:400 
checkpoint:130, time:15059, size:280 
checkpoint:131, time:19596, size:432 
checkpoint:132, time:19669, size:448 
checkpoint:133, time:23328, size:568 
checkpoint:134, time:23655, size:608 
checkpoint:135, time:23474, size:600 
checkpoint:136, time:28089, size:528 
checkpoint:137, time:34163, size:832 
checkpoint:138, time:23738, size:512 
checkpoint:139, time:10817, size:168 
checkpoint:140, time:11225, size:160 
checkpoint:141, time:10946, size:200 
checkpoint:142, time:15207, size:344 
checkpoint:143, time:15281, size:320 
checkpoint:144, time:19445, size:416 
checkpoint:145, time:19785, size:472 
checkpoint:146, time:23446, size:592 
checkpoint:147, time:22978, size:576 
checkpoint:148, time:28850, size:672 
checkpoint:149, time:28597, size:688 
checkpoint:150, time:30795, size:728 
checkpoint:151, time:15168, size:320 
checkpoint:152, time:10819, size:168 
checkpoint:153, time:10754, size:176 
checkpoint:154, time:16158, size:336 
checkpoint:155, time:15129, size:296 
checkpoint:156, time:15504, size:368 
checkpoint:157, time:19628, size:424 
checkpoint:158, time:19708, size:424 
checkpoint:159, time:23258, size:568 
checkpoint:160, time:22483, size:584 
checkpoint:161, time:28117, size:704 
checkpoint:162, time:30113, size:720 
checkpoint:163, time:22676, size:504 
checkpoint:164, time:10818, size:168 
checkpoint:165, time:11939, size:216 
checkpoint:166, time:11364, size:184 
checkpoint:167, time:15305, size:312 
checkpoint:168, time:15079, size:312 
checkpoint:169, time:19854, size:496 
checkpoint:170, time:18620, size:408 
