spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:24351, size:464 
checkpoint:2, time:17381, size:352 
checkpoint:3, time:13173, size:280 
checkpoint:4, time:14033, size:376 
checkpoint:5, time:17576, size:416 
checkpoint:6, time:18644, size:448 
checkpoint:7, time:9258, size:128 
checkpoint:8, time:19043, size:528 
checkpoint:9, time:19118, size:448 
checkpoint:10, time:4149, size:0 
checkpoint:11, time:17479, size:480 
checkpoint:12, time:18201, size:440 
checkpoint:13, time:12080, size:240 
checkpoint:14, time:10127, size:296 
checkpoint:15, time:17499, size:432 
checkpoint:16, time:17506, size:400 
checkpoint:17, time:9391, size:144 
checkpoint:18, time:18356, size:512 
checkpoint:19, time:18977, size:416 
checkpoint:20, time:4149, size:0 
checkpoint:21, time:13706, size:352 
checkpoint:22, time:18336, size:456 
checkpoint:23, time:12941, size:280 
checkpoint:24, time:9742, size:264 
checkpoint:25, time:18230, size:456 
checkpoint:26, time:18300, size:432 
checkpoint:27, time:9523, size:160 
checkpoint:28, time:17877, size:504 
checkpoint:29, time:18762, size:440 
checkpoint:30, time:4149, size:0 
checkpoint:31, time:13325, size:304 
checkpoint:32, time:20461, size:528 
checkpoint:33, time:16201, size:400 
checkpoint:34, time:9482, size:232 
checkpoint:35, time:18242, size:432 
checkpoint:36, time:17202, size:352 
checkpoint:37, time:8879, size:96 
checkpoint:38, time:14040, size:408 
checkpoint:39, time:18704, size:448 
checkpoint:40, time:4149, size:0 
checkpoint:41, time:14059, size:416 
checkpoint:42, time:19139, size:488 
checkpoint:43, time:15072, size:328 
checkpoint:44, time:9810, size:272 
checkpoint:45, time:14920, size:384 
checkpoint:46, time:19202, size:488 
checkpoint:47, time:9459, size:152 
checkpoint:48, time:13376, size:392 
checkpoint:49, time:19575, size:504 
checkpoint:50, time:4277, size:0 
checkpoint:51, time:14203, size:408 
checkpoint:52, time:19056, size:464 
checkpoint:53, time:15336, size:360 
checkpoint:54, time:10127, size:296 
checkpoint:55, time:15968, size:432 
checkpoint:56, time:19005, size:464 
checkpoint:57, time:9075, size:120 
checkpoint:58, time:13442, size:400 
checkpoint:59, time:18986, size:432 
checkpoint:60, time:4277, size:0 
checkpoint:61, time:14165, size:408 
checkpoint:62, time:15530, size:416 
checkpoint:63, time:16359, size:408 
checkpoint:64, time:10528, size:280 
checkpoint:65, time:13737, size:320 
checkpoint:66, time:20184, size:528 
checkpoint:67, time:9457, size:152 
checkpoint:68, time:13643, size:424 
checkpoint:69, time:15621, size:360 
checkpoint:70, time:4277, size:0 
checkpoint:71, time:13905, size:376 
checkpoint:72, time:14988, size:400 
checkpoint:73, time:16355, size:392 
checkpoint:74, time:10186, size:304 
checkpoint:75, time:14292, size:384 
checkpoint:76, time:16166, size:448 
checkpoint:77, time:10309, size:176 
checkpoint:78, time:13309, size:384 
checkpoint:79, time:15834, size:360 
checkpoint:80, time:4277, size:0 
checkpoint:81, time:13414, size:352 
checkpoint:82, time:15211, size:392 
checkpoint:83, time:16759, size:416 
checkpoint:84, time:9742, size:264 
checkpoint:85, time:15227, size:368 
checkpoint:86, time:14790, size:360 
checkpoint:87, time:9457, size:152 
checkpoint:88, time:13627, size:408 
checkpoint:89, time:16125, size:400 
checkpoint:90, time:4277, size:0 
checkpoint:91, time:13990, size:408 
checkpoint:92, time:14540, size:360 
checkpoint:93, time:17274, size:440 
checkpoint:94, time:10725, size:304 
checkpoint:95, time:16003, size:448 
checkpoint:96, time:16457, size:432 
checkpoint:97, time:9260, size:128 
checkpoint:98, time:14703, size:488 
checkpoint:99, time:15923, size:376 
checkpoint:100, time:4405, size:0 
checkpoint:101, time:13994, size:408 
checkpoint:102, time:14805, size:392 
checkpoint:103, time:16809, size:448 
checkpoint:104, time:9677, size:256 
checkpoint:105, time:15415, size:456 
checkpoint:106, time:14684, size:336 
checkpoint:107, time:9325, size:136 
checkpoint:108, time:14983, size:400 
checkpoint:109, time:15992, size:384 
checkpoint:110, time:4405, size:0 
checkpoint:111, time:14101, size:400 
checkpoint:112, time:15667, size:432 
checkpoint:113, time:16494, size:384 
checkpoint:114, time:9743, size:264 
checkpoint:115, time:15087, size:416 
checkpoint:116, time:14794, size:360 
checkpoint:117, time:9074, size:120 
checkpoint:118, time:14499, size:344 
checkpoint:119, time:16320, size:424 
checkpoint:120, time:4405, size:0 
checkpoint:121, time:13624, size:352 
checkpoint:122, time:14790, size:376 
checkpoint:123, time:17130, size:408 
checkpoint:124, time:9743, size:264 
checkpoint:125, time:17494, size:456 
checkpoint:126, time:15838, size:408 
checkpoint:127, time:9525, size:160 
checkpoint:128, time:16529, size:472 
checkpoint:129, time:16310, size:408 
checkpoint:130, time:4405, size:0 
checkpoint:131, time:13613, size:376 
checkpoint:132, time:16732, size:440 
checkpoint:133, time:15368, size:352 
checkpoint:134, time:9612, size:248 
checkpoint:135, time:16510, size:432 
checkpoint:136, time:15586, size:392 
checkpoint:137, time:9075, size:120 
checkpoint:138, time:16113, size:472 
checkpoint:139, time:15565, size:368 
checkpoint:140, time:4405, size:0 
checkpoint:141, time:13797, size:384 
checkpoint:142, time:17483, size:416 
checkpoint:143, time:15818, size:392 
checkpoint:144, time:9437, size:240 
checkpoint:145, time:15715, size:424 
checkpoint:146, time:14988, size:384 
checkpoint:147, time:9325, size:136 
checkpoint:148, time:16375, size:504 
checkpoint:149, time:18648, size:456 
checkpoint:150, time:4533, size:0 
checkpoint:151, time:14470, size:416 
checkpoint:152, time:16812, size:400 
checkpoint:153, time:16675, size:432 
checkpoint:154, time:9548, size:240 
checkpoint:155, time:16128, size:400 
checkpoint:156, time:20168, size:520 
checkpoint:157, time:9259, size:128 
checkpoint:158, time:15812, size:424 
checkpoint:159, time:17879, size:440 
checkpoint:160, time:4533, size:0 
checkpoint:161, time:13411, size:352 
checkpoint:162, time:16904, size:424 
checkpoint:163, time:18681, size:464 
checkpoint:164, time:9812, size:272 
checkpoint:165, time:17631, size:488 
checkpoint:166, time:19423, size:472 
checkpoint:167, time:9259, size:128 
checkpoint:168, time:14873, size:400 
checkpoint:169, time:17903, size:440 
checkpoint:170, time:4533, size:0 
checkpoint:171, time:14273, size:416 
checkpoint:172, time:17406, size:472 
checkpoint:173, time:18297, size:456 
checkpoint:174, time:9610, size:248 
checkpoint:175, time:18410, size:504 
checkpoint:176, time:18454, size:432 
checkpoint:177, time:9073, size:120 
checkpoint:178, time:14866, size:400 
checkpoint:179, time:17691, size:440 
checkpoint:180, time:4533, size:0 
checkpoint:181, time:14616, size:448 
checkpoint:182, time:16531, size:416 
checkpoint:183, time:17871, size:456 
checkpoint:184, time:9810, size:272 
checkpoint:185, time:16592, size:416 
checkpoint:186, time:18577, size:408 
checkpoint:187, time:9259, size:128 
checkpoint:188, time:15593, size:424 
checkpoint:189, time:17504, size:432 
checkpoint:190, time:4533, size:0 
checkpoint:191, time:13092, size:328 
checkpoint:192, time:17155, size:440 
checkpoint:193, time:18033, size:440 
checkpoint:194, time:12496, size:240 
checkpoint:195, time:16567, size:424 
checkpoint:196, time:18310, size:416 
checkpoint:197, time:9221, size:112 
checkpoint:198, time:15279, size:400 
checkpoint:199, time:18313, size:480 
checkpoint:200, time:4533, size:0 
checkpoint:201, time:13905, size:376 
checkpoint:202, time:16825, size:416 
checkpoint:203, time:16799, size:368 
checkpoint:204, time:12565, size:248 
checkpoint:205, time:16083, size:392 
checkpoint:206, time:18363, size:408 
checkpoint:207, time:9074, size:120 
