spawn telnet localhost 3456
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, page_time:6031185, size_db:266240
checkpoint:2, page_time:3561593, size_db:266240
checkpoint:3, page_time:10243929, size_db:528384
checkpoint:4, page_time:8799565, size_db:528384
checkpoint:5, page_time:9143316, size_db:528384
checkpoint:6, page_time:16432028, size_db:790528
checkpoint:7, page_time:18001053, size_db:790528
checkpoint:8, page_time:12044641, size_db:528384
checkpoint:9, page_time:466608, size_db:32768
checkpoint:10, page_time:5296601, size_db:266240
checkpoint:11, page_time:10148423, size_db:528384
checkpoint:12, page_time:3724553, size_db:266240
checkpoint:13, page_time:3562592, size_db:266240
checkpoint:14, page_time:3560244, size_db:266240
checkpoint:15, page_time:10123735, size_db:528384
checkpoint:16, page_time:23898346, size_db:1052672
checkpoint:17, page_time:12449166, size_db:516096
checkpoint:18, page_time:325805, size_db:24576
checkpoint:19, page_time:18151790, size_db:790528
checkpoint:20, page_time:5043224, size_db:266240
checkpoint:21, page_time:10186424, size_db:528384
checkpoint:22, page_time:3783097, size_db:266240
checkpoint:23, page_time:17098990, size_db:790528
checkpoint:24, page_time:5217522, size_db:266240
checkpoint:25, page_time:3560931, size_db:266240
checkpoint:26, page_time:3562782, size_db:266240
checkpoint:27, page_time:3563811, size_db:266240
checkpoint:28, page_time:3562341, size_db:266240
checkpoint:29, page_time:3559181, size_db:266240
checkpoint:30, page_time:1194893, size_db:90112
checkpoint:31, page_time:1085471, size_db:81920
checkpoint:32, page_time:11375009, size_db:528384
checkpoint:33, page_time:11899943, size_db:598016
checkpoint:34, page_time:4016545, size_db:266240
checkpoint:35, page_time:17160539, size_db:790528
checkpoint:36, page_time:5084059, size_db:266240
checkpoint:37, page_time:7918358, size_db:438272
checkpoint:38, page_time:3590908, size_db:266240
checkpoint:39, page_time:10180606, size_db:528384
checkpoint:40, page_time:817643, size_db:57344
checkpoint:41, page_time:11518143, size_db:528384
checkpoint:42, page_time:4202344, size_db:294912
checkpoint:43, page_time:3560541, size_db:266240
checkpoint:44, page_time:10168917, size_db:528384
checkpoint:45, page_time:1728463, size_db:118784
checkpoint:46, page_time:17813969, size_db:790528
checkpoint:47, page_time:5038482, size_db:266240
checkpoint:48, page_time:17152861, size_db:790528
checkpoint:49, page_time:17962777, size_db:790528
checkpoint:50, page_time:11909971, size_db:528384
checkpoint:51, page_time:16513433, size_db:790528
checkpoint:52, page_time:3046669, size_db:155648
checkpoint:53, page_time:11038703, size_db:528384
checkpoint:54, page_time:2227105, size_db:147456
checkpoint:55, page_time:17559438, size_db:790528
checkpoint:56, page_time:6816002, size_db:344064
checkpoint:57, page_time:3564598, size_db:266240
checkpoint:58, page_time:10354882, size_db:528384
checkpoint:59, page_time:1775788, size_db:118784
checkpoint:60, page_time:11274521, size_db:528384
checkpoint:61, page_time:9468364, size_db:528384
checkpoint:62, page_time:23778189, size_db:1052672
checkpoint:63, page_time:5320068, size_db:266240
checkpoint:64, page_time:3562129, size_db:266240
checkpoint:65, page_time:24432300, size_db:1052672
checkpoint:66, page_time:18925056, size_db:790528
checkpoint:67, page_time:12193710, size_db:528384
checkpoint:68, page_time:9424454, size_db:528384
checkpoint:69, page_time:9054184, size_db:528384
checkpoint:70, page_time:23936890, size_db:1052672
checkpoint:71, page_time:5372206, size_db:266240
checkpoint:72, page_time:9296464, size_db:491520
checkpoint:73, page_time:9026376, size_db:528384
checkpoint:74, page_time:8262844, size_db:528384
checkpoint:75, page_time:9138911, size_db:528384
checkpoint:76, page_time:1392064, size_db:98304
checkpoint:77, page_time:25283786, size_db:1052672
checkpoint:78, page_time:7361597, size_db:352256
checkpoint:79, page_time:3886096, size_db:286720
checkpoint:80, page_time:3560502, size_db:266240
checkpoint:81, page_time:10175026, size_db:528384
checkpoint:82, page_time:8888118, size_db:528384
checkpoint:83, page_time:3969881, size_db:266240
checkpoint:84, page_time:3559650, size_db:266240
checkpoint:85, page_time:3561665, size_db:266240
checkpoint:86, page_time:15690731, size_db:729088
checkpoint:87, page_time:11648368, size_db:528384
checkpoint:88, page_time:8786539, size_db:528384
checkpoint:89, page_time:3869850, size_db:266240
checkpoint:90, page_time:10341499, size_db:528384
checkpoint:91, page_time:3744980, size_db:266240
checkpoint:92, page_time:10173899, size_db:528384
checkpoint:93, page_time:2481307, size_db:167936
checkpoint:94, page_time:10939567, size_db:528384
checkpoint:95, page_time:16448250, size_db:790528
checkpoint:96, page_time:17940842, size_db:790528
checkpoint:97, page_time:14078044, size_db:610304
checkpoint:98, page_time:4193072, size_db:266240
checkpoint:99, page_time:10273284, size_db:528384
checkpoint:100, page_time:3700069, size_db:266240
checkpoint:101, page_time:3561790, size_db:266240
checkpoint:102, page_time:9975037, size_db:520192
checkpoint:103, page_time:9114250, size_db:528384
checkpoint:104, page_time:4671307, size_db:331776
