spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, page_time:11499455, size_db:544768
checkpoint:2, page_time:7358708, size_db:544768
checkpoint:3, page_time:5518855, size_db:409600
checkpoint:4, page_time:7352713, size_db:544768
checkpoint:5, page_time:1814823, size_db:139264
checkpoint:6, page_time:1819491, size_db:139264
checkpoint:7, page_time:1821362, size_db:139264
checkpoint:8, page_time:7358732, size_db:544768
checkpoint:9, page_time:5510152, size_db:409600
checkpoint:10, page_time:5511387, size_db:409600
checkpoint:11, page_time:5518258, size_db:409600
checkpoint:12, page_time:1814281, size_db:139264
checkpoint:13, page_time:1815637, size_db:139264
checkpoint:14, page_time:7359244, size_db:544768
checkpoint:15, page_time:3651934, size_db:274432
checkpoint:16, page_time:1817418, size_db:139264
checkpoint:17, page_time:1815841, size_db:139264
checkpoint:18, page_time:1814907, size_db:139264
checkpoint:19, page_time:5519268, size_db:409600
checkpoint:20, page_time:5521238, size_db:409600
checkpoint:21, page_time:3652972, size_db:274432
checkpoint:22, page_time:3659998, size_db:274432
checkpoint:23, page_time:1814313, size_db:139264
checkpoint:24, page_time:3654384, size_db:274432
checkpoint:25, page_time:3660340, size_db:274432
checkpoint:26, page_time:3659093, size_db:274432
checkpoint:27, page_time:5517222, size_db:409600
checkpoint:28, page_time:5511382, size_db:409600
checkpoint:29, page_time:7354812, size_db:544768
checkpoint:30, page_time:5521975, size_db:409600
checkpoint:31, page_time:5519814, size_db:409600
checkpoint:32, page_time:3653592, size_db:274432
checkpoint:33, page_time:3658481, size_db:274432
checkpoint:34, page_time:3656838, size_db:274432
checkpoint:35, page_time:1814272, size_db:139264
checkpoint:36, page_time:5509969, size_db:409600
checkpoint:37, page_time:7355600, size_db:544768
checkpoint:38, page_time:3662438, size_db:274432
checkpoint:39, page_time:5518123, size_db:409600
checkpoint:40, page_time:1816182, size_db:139264
checkpoint:41, page_time:1819525, size_db:139264
checkpoint:42, page_time:1814342, size_db:139264
checkpoint:43, page_time:3662232, size_db:274432
checkpoint:44, page_time:1817264, size_db:139264
checkpoint:45, page_time:1823671, size_db:139264
checkpoint:46, page_time:3655178, size_db:274432
checkpoint:47, page_time:1820185, size_db:139264
checkpoint:48, page_time:3656261, size_db:274432
checkpoint:49, page_time:7360906, size_db:544768
checkpoint:50, page_time:5514265, size_db:409600
checkpoint:51, page_time:3653722, size_db:274432
checkpoint:52, page_time:1818301, size_db:139264
checkpoint:53, page_time:7357636, size_db:544768
checkpoint:54, page_time:1816071, size_db:139264
checkpoint:55, page_time:3662176, size_db:274432
checkpoint:56, page_time:5513650, size_db:409600
checkpoint:57, page_time:3652852, size_db:274432
checkpoint:58, page_time:7356395, size_db:544768
checkpoint:59, page_time:1818132, size_db:139264
checkpoint:60, page_time:3655991, size_db:274432
checkpoint:61, page_time:3659170, size_db:274432
checkpoint:62, page_time:3655540, size_db:274432
checkpoint:63, page_time:3659644, size_db:274432
checkpoint:64, page_time:3661297, size_db:274432
checkpoint:65, page_time:1819599, size_db:139264
checkpoint:66, page_time:3655350, size_db:274432
checkpoint:67, page_time:3657653, size_db:274432
checkpoint:68, page_time:5508648, size_db:409600
checkpoint:69, page_time:7357247, size_db:544768
checkpoint:70, page_time:5521691, size_db:409600
checkpoint:71, page_time:7352665, size_db:544768
checkpoint:72, page_time:1814258, size_db:139264
checkpoint:73, page_time:1813781, size_db:139264
checkpoint:74, page_time:1819035, size_db:139264
checkpoint:75, page_time:5514375, size_db:409600
checkpoint:76, page_time:3660937, size_db:274432
checkpoint:77, page_time:3656186, size_db:274432
checkpoint:78, page_time:5518851, size_db:409600
checkpoint:79, page_time:1828031, size_db:139264
checkpoint:80, page_time:1815418, size_db:139264
checkpoint:81, page_time:7360032, size_db:544768
checkpoint:82, page_time:1815505, size_db:139264
checkpoint:83, page_time:3666341, size_db:274432
checkpoint:84, page_time:5509129, size_db:409600
