spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, page_time:2044852, size_db:102400
checkpoint:2, page_time:1207583, size_db:94208
checkpoint:3, page_time:3270146, size_db:200704
checkpoint:4, page_time:1221928, size_db:94208
checkpoint:5, page_time:2151616, size_db:167936
checkpoint:6, page_time:2284092, size_db:176128
checkpoint:7, page_time:2496678, size_db:192512
checkpoint:8, page_time:1115679, size_db:86016
checkpoint:9, page_time:5336505, size_db:331776
checkpoint:10, page_time:2602813, size_db:200704
checkpoint:11, page_time:2282488, size_db:176128
checkpoint:12, page_time:1113947, size_db:86016
checkpoint:13, page_time:5432107, size_db:380928
checkpoint:14, page_time:2282502, size_db:176128
checkpoint:15, page_time:2284073, size_db:176128
checkpoint:16, page_time:3413624, size_db:262144
checkpoint:17, page_time:2601732, size_db:200704
checkpoint:18, page_time:1168738, size_db:90112
checkpoint:19, page_time:1306226, size_db:102400
checkpoint:20, page_time:2270832, size_db:176128
checkpoint:21, page_time:3636462, size_db:274432
checkpoint:22, page_time:1167749, size_db:90112
checkpoint:23, page_time:3974346, size_db:299008
checkpoint:24, page_time:4433743, size_db:331776
checkpoint:25, page_time:1272712, size_db:98304
checkpoint:26, page_time:1105139, size_db:86016
checkpoint:27, page_time:1284386, size_db:102400
checkpoint:28, page_time:3396753, size_db:262144
checkpoint:29, page_time:1221921, size_db:94208
checkpoint:30, page_time:1260806, size_db:98304
checkpoint:31, page_time:1260779, size_db:98304
checkpoint:32, page_time:3222169, size_db:249856
checkpoint:33, page_time:5101780, size_db:380928
checkpoint:34, page_time:2284088, size_db:176128
checkpoint:35, page_time:1167745, size_db:90112
checkpoint:36, page_time:1306213, size_db:102400
checkpoint:37, page_time:3804003, size_db:286720
checkpoint:38, page_time:2177881, size_db:167936
checkpoint:39, page_time:3820419, size_db:286720
checkpoint:40, page_time:3821408, size_db:286720
checkpoint:41, page_time:1216014, size_db:94208
checkpoint:42, page_time:1313869, size_db:102400
checkpoint:43, page_time:1108624, size_db:86016
checkpoint:44, page_time:2579091, size_db:200704
checkpoint:45, page_time:3821432, size_db:286720
checkpoint:46, page_time:1274959, size_db:98304
checkpoint:47, page_time:4854227, size_db:364544
checkpoint:48, page_time:2176320, size_db:167936
checkpoint:49, page_time:1324982, size_db:102400
checkpoint:50, page_time:1212519, size_db:94208
checkpoint:51, page_time:2158615, size_db:167936
checkpoint:52, page_time:5454718, size_db:397312
checkpoint:53, page_time:1328023, size_db:102400
checkpoint:54, page_time:3217749, size_db:249856
checkpoint:55, page_time:1220729, size_db:94208
checkpoint:56, page_time:1202633, size_db:94208
checkpoint:57, page_time:2264781, size_db:176128
checkpoint:58, page_time:1221927, size_db:94208
checkpoint:59, page_time:2163672, size_db:167936
checkpoint:60, page_time:1274958, size_db:98304
checkpoint:61, page_time:2477377, size_db:192512
checkpoint:62, page_time:2496685, size_db:192512
checkpoint:63, page_time:1274956, size_db:98304
checkpoint:64, page_time:1254208, size_db:98304
checkpoint:65, page_time:1093970, size_db:86016
checkpoint:66, page_time:2479994, size_db:192512
checkpoint:67, page_time:1274962, size_db:98304
checkpoint:68, page_time:1209066, size_db:94208
checkpoint:69, page_time:3620620, size_db:274432
checkpoint:70, page_time:2284084, size_db:176128
checkpoint:71, page_time:3635510, size_db:274432
checkpoint:72, page_time:2390426, size_db:184320
checkpoint:73, page_time:3821435, size_db:286720
checkpoint:74, page_time:3240607, size_db:249856
checkpoint:75, page_time:1168739, size_db:90112
checkpoint:76, page_time:3804733, size_db:286720
checkpoint:77, page_time:4433742, size_db:331776
checkpoint:78, page_time:1274948, size_db:98304
checkpoint:79, page_time:1250609, size_db:98304
checkpoint:80, page_time:2263416, size_db:176128
checkpoint:81, page_time:1328046, size_db:102400
checkpoint:82, page_time:1108661, size_db:86016
checkpoint:83, page_time:1205265, size_db:94208
checkpoint:84, page_time:1082584, size_db:86016
checkpoint:85, page_time:2480008, size_db:192512
checkpoint:86, page_time:2482532, size_db:192512
checkpoint:87, page_time:2601882, size_db:200704
checkpoint:88, page_time:5101441, size_db:380928
checkpoint:89, page_time:1114985, size_db:86016
checkpoint:90, page_time:1097370, size_db:86016
checkpoint:91, page_time:4636595, size_db:348160
checkpoint:92, page_time:2496679, size_db:192512
checkpoint:93, page_time:4876322, size_db:364544
checkpoint:94, page_time:1115659, size_db:86016
checkpoint:95, page_time:3804771, size_db:286720
checkpoint:96, page_time:1274957, size_db:98304
checkpoint:97, page_time:2376324, size_db:184320
checkpoint:98, page_time:3991046, size_db:299008
checkpoint:99, page_time:1168735, size_db:90112
checkpoint:100, page_time:1311391, size_db:102400
checkpoint:101, page_time:1108676, size_db:86016
checkpoint:102, page_time:3619770, size_db:274432
checkpoint:103, page_time:1328045, size_db:102400
checkpoint:104, page_time:2377372, size_db:184320
checkpoint:105, page_time:2176819, size_db:167936
checkpoint:106, page_time:2376750, size_db:184320
checkpoint:107, page_time:2388894, size_db:184320
checkpoint:108, page_time:1115151, size_db:86016
checkpoint:109, page_time:3394747, size_db:262144
checkpoint:110, page_time:1221929, size_db:94208
checkpoint:111, page_time:1148671, size_db:90112
checkpoint:112, page_time:2474857, size_db:192512
checkpoint:113, page_time:4653250, size_db:348160
checkpoint:114, page_time:2495709, size_db:192512
checkpoint:115, page_time:1221875, size_db:94208
checkpoint:116, page_time:2588651, size_db:200704
checkpoint:117, page_time:1221926, size_db:94208
checkpoint:118, page_time:1155770, size_db:90112
checkpoint:119, page_time:1144955, size_db:90112
checkpoint:120, page_time:2156066, size_db:167936
checkpoint:121, page_time:1221928, size_db:94208
checkpoint:122, page_time:2255802, size_db:176128
checkpoint:123, page_time:1328045, size_db:102400
checkpoint:124, page_time:3804681, size_db:286720
checkpoint:125, page_time:1274967, size_db:98304
checkpoint:126, page_time:1267977, size_db:102400
checkpoint:127, page_time:3624849, size_db:274432
checkpoint:128, page_time:2496676, size_db:192512
checkpoint:129, page_time:1168740, size_db:90112
checkpoint:130, page_time:3224875, size_db:249856
checkpoint:131, page_time:2496680, size_db:192512
checkpoint:132, page_time:2390426, size_db:184320
checkpoint:133, page_time:2176279, size_db:167936
checkpoint:134, page_time:1168745, size_db:90112
checkpoint:135, page_time:1100277, size_db:86016
checkpoint:136, page_time:5085092, size_db:380928
checkpoint:137, page_time:1115664, size_db:86016
checkpoint:138, page_time:1205218, size_db:94208
checkpoint:139, page_time:1102318, size_db:86016
checkpoint:140, page_time:2471436, size_db:192512
checkpoint:141, page_time:1168739, size_db:90112
checkpoint:142, page_time:1311364, size_db:102400
checkpoint:143, page_time:1212597, size_db:94208
checkpoint:144, page_time:2376256, size_db:184320
checkpoint:145, page_time:2602802, size_db:200704
checkpoint:146, page_time:3240417, size_db:249856
checkpoint:147, page_time:2496680, size_db:192512
checkpoint:148, page_time:5101771, size_db:380928
checkpoint:149, page_time:2602793, size_db:200704
checkpoint:150, page_time:1274960, size_db:98304
checkpoint:151, page_time:1313901, size_db:102400
checkpoint:152, page_time:3624851, size_db:274432
checkpoint:153, page_time:1221934, size_db:94208
checkpoint:154, page_time:2375327, size_db:184320
checkpoint:155, page_time:2389889, size_db:184320
checkpoint:156, page_time:2282907, size_db:176128
checkpoint:157, page_time:3989234, size_db:299008
checkpoint:158, page_time:2282527, size_db:176128
checkpoint:159, page_time:2390420, size_db:184320
checkpoint:160, page_time:1114661, size_db:86016
checkpoint:161, page_time:2258855, size_db:176128
checkpoint:162, page_time:1114576, size_db:86016
checkpoint:163, page_time:1303881, size_db:102400
checkpoint:164, page_time:1199612, size_db:94208
checkpoint:165, page_time:1307984, size_db:102400
checkpoint:166, page_time:2586095, size_db:200704
checkpoint:167, page_time:2284083, size_db:176128
checkpoint:168, page_time:2177889, size_db:167936
checkpoint:169, page_time:4876462, size_db:364544
checkpoint:170, page_time:2496675, size_db:192512
checkpoint:171, page_time:1274961, size_db:98304
checkpoint:172, page_time:1203902, size_db:94208
checkpoint:173, page_time:2158640, size_db:167936
checkpoint:174, page_time:3419438, size_db:262144
checkpoint:175, page_time:2496692, size_db:192512
checkpoint:176, page_time:1168741, size_db:90112
checkpoint:177, page_time:2574737, size_db:200704
checkpoint:178, page_time:3636457, size_db:274432
checkpoint:179, page_time:1274952, size_db:98304
checkpoint:180, page_time:1268176, size_db:102400
checkpoint:181, page_time:1144609, size_db:90112
checkpoint:182, page_time:1252571, size_db:98304
checkpoint:183, page_time:2158615, size_db:167936
checkpoint:184, page_time:2591217, size_db:200704
checkpoint:185, page_time:2602804, size_db:200704
checkpoint:186, page_time:1114428, size_db:86016
checkpoint:187, page_time:1145002, size_db:90112
checkpoint:188, page_time:2267418, size_db:176128
checkpoint:189, page_time:1167744, size_db:90112
checkpoint:190, page_time:1144955, size_db:90112
checkpoint:191, page_time:1311344, size_db:102400
checkpoint:192, page_time:2377868, size_db:184320
checkpoint:193, page_time:2282937, size_db:176128
checkpoint:194, page_time:3636439, size_db:274432
checkpoint:195, page_time:2495116, size_db:192512
checkpoint:196, page_time:1221270, size_db:94208
checkpoint:197, page_time:3971803, size_db:299008
checkpoint:198, page_time:2496681, size_db:192512
checkpoint:199, page_time:2390460, size_db:184320
checkpoint:200, page_time:5329533, size_db:397312
checkpoint:201, page_time:1168733, size_db:90112
checkpoint:202, page_time:2156091, size_db:167936
checkpoint:203, page_time:1168746, size_db:90112
checkpoint:204, page_time:2151393, size_db:167936
checkpoint:205, page_time:4432130, size_db:331776
checkpoint:206, page_time:2496195, size_db:192512
checkpoint:207, page_time:2177892, size_db:167936
checkpoint:208, page_time:4650372, size_db:348160
checkpoint:209, page_time:2388725, size_db:184320
checkpoint:210, page_time:2386321, size_db:184320
checkpoint:211, page_time:3241421, size_db:249856
checkpoint:212, page_time:2602802, size_db:200704
checkpoint:213, page_time:2492657, size_db:192512
checkpoint:214, page_time:4875499, size_db:364544
