spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, page_time:5036155, size_db:266240, actual:262376 
checkpoint:2, page_time:9408713, size_db:528384, actual:524584 
checkpoint:3, page_time:4371405, size_db:266240, actual:262376 
checkpoint:4, page_time:8808020, size_db:528384, actual:524584 
checkpoint:5, page_time:4377634, size_db:266240, actual:262376 
checkpoint:6, page_time:8808366, size_db:528384, actual:524584 
checkpoint:7, page_time:4377815, size_db:266240, actual:262376 
checkpoint:8, page_time:4372290, size_db:266240, actual:262376 
checkpoint:9, page_time:13795305, size_db:790528, actual:786792 
checkpoint:10, page_time:4376471, size_db:266240, actual:262376 
checkpoint:11, page_time:4370998, size_db:266240, actual:262376 
checkpoint:12, page_time:8807944, size_db:528384, actual:524584 
checkpoint:13, page_time:8806808, size_db:528384, actual:524584 
checkpoint:14, page_time:4373458, size_db:266240, actual:262376 
checkpoint:15, page_time:8814670, size_db:528384, actual:524584 
checkpoint:16, page_time:4374048, size_db:266240, actual:262376 
checkpoint:17, page_time:4370690, size_db:266240, actual:262376 
checkpoint:18, page_time:4372819, size_db:266240, actual:262376 
checkpoint:19, page_time:13198423, size_db:790528, actual:786792 
