spawn telnet localhost 3456
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
log write not done in :10
checkpoint:1, time:2061539, size:11552 
checkpoint:2, time:1017873, size:7664 
checkpoint:3, time:1684223, size:12376 
checkpoint:4, time:330803, size:1920 
checkpoint:5, time:1027656, size:7680 
checkpoint:6, time:1094741, size:8248 
checkpoint:7, time:795960, size:5648 
checkpoint:8, time:1174237, size:8760 
checkpoint:9, time:1813512, size:12440 
checkpoint:10, time:208674, size:912 
checkpoint:11, time:1176343, size:8976 
checkpoint:12, time:1328997, size:9760 
checkpoint:13, time:3071691, size:20200 
checkpoint:14, time:1112535, size:8352 
checkpoint:15, time:2408884, size:17672 
checkpoint:16, time:1665539, size:12832 
checkpoint:17, time:2793782, size:20480 
checkpoint:18, time:2068492, size:15520 
checkpoint:19, time:1821075, size:14056 
checkpoint:20, time:1882116, size:14584 
checkpoint:21, time:2267015, size:16392 
checkpoint:22, time:2445552, size:18104 
checkpoint:23, time:1306393, size:9840 
checkpoint:24, time:2196148, size:16896 
checkpoint:25, time:2707851, size:19864 
checkpoint:26, time:838299, size:6008 
checkpoint:27, time:823134, size:5920 
checkpoint:28, time:2295182, size:15848 
checkpoint:29, time:3283484, size:22400 
checkpoint:30, time:886622, size:6376 
checkpoint:31, time:1212959, size:9080 
checkpoint:32, time:1229797, size:9144 
checkpoint:33, time:2273718, size:15528 
checkpoint:34, time:1952506, size:15032 
checkpoint:35, time:2833866, size:19720 
checkpoint:36, time:2527195, size:18768 
checkpoint:37, time:1576612, size:11808 
checkpoint:38, time:1062550, size:7960 
checkpoint:39, time:952008, size:7048 
checkpoint:40, time:1029447, size:7640 
checkpoint:41, time:3367141, size:20688 
checkpoint:42, time:1218157, size:9056 
checkpoint:43, time:1142623, size:8728 
checkpoint:44, time:1080415, size:8168 
checkpoint:45, time:2062290, size:14160 
checkpoint:46, time:1901530, size:14536 
checkpoint:47, time:1050125, size:7880 
checkpoint:48, time:929104, size:6904 
checkpoint:49, time:2690659, size:17608 
checkpoint:50, time:890113, size:6440 
checkpoint:51, time:1166098, size:8936 
checkpoint:52, time:1993275, size:13776 
checkpoint:53, time:1845694, size:14256 
checkpoint:54, time:1166693, size:8856 
checkpoint:55, time:996724, size:7440 
checkpoint:56, time:1164310, size:8928 
checkpoint:57, time:2320600, size:14504 
checkpoint:58, time:1135166, size:8584 
checkpoint:59, time:1029212, size:7632 
checkpoint:60, time:1375842, size:10120 
checkpoint:61, time:1049102, size:7888 
checkpoint:62, time:1036832, size:7656 
checkpoint:63, time:997165, size:7400 
checkpoint:64, time:1038878, size:7720 
checkpoint:65, time:1851879, size:12360 
checkpoint:66, time:2437305, size:17056 
checkpoint:67, time:1881441, size:14432 
checkpoint:68, time:1006308, size:7376 
checkpoint:69, time:3051006, size:20872 
checkpoint:70, time:1055342, size:7896 
checkpoint:71, time:1920807, size:14632 
checkpoint:72, time:2092187, size:15320 
checkpoint:73, time:2075731, size:15216 
checkpoint:74, time:2104401, size:16248 
checkpoint:75, time:1874713, size:14448 
checkpoint:76, time:2462615, size:17280 
checkpoint:77, time:2622003, size:19952 
checkpoint:78, time:1105836, size:8312 
checkpoint:79, time:776202, size:5256 
checkpoint:80, time:401271, size:2328 
checkpoint:81, time:349558, size:1976 
checkpoint:82, time:2689984, size:16816 
checkpoint:83, time:1078521, size:7560 
checkpoint:84, time:2110544, size:15944 
checkpoint:85, time:589049, size:3784 
checkpoint:86, time:1928677, size:14928 
checkpoint:87, time:1066598, size:7944 
checkpoint:88, time:1885806, size:14336 
checkpoint:89, time:980002, size:7336 
checkpoint:90, time:621928, size:4248 
checkpoint:91, time:1903091, size:13328 
checkpoint:92, time:3492387, size:22688 
checkpoint:93, time:1876520, size:14336 
checkpoint:94, time:1667046, size:12560 
checkpoint:95, time:1694394, size:12768 
checkpoint:96, time:1058565, size:7912 
checkpoint:97, time:2022895, size:14712 
checkpoint:98, time:1046415, size:7624 
checkpoint:99, time:1938108, size:14696 
checkpoint:100, time:416906, size:2440 
checkpoint:101, time:2900930, size:19680 
checkpoint:102, time:1602111, size:12072 
checkpoint:103, time:1173576, size:8864 
checkpoint:104, time:2744587, size:18824 
checkpoint:105, time:1095933, size:8288 
checkpoint:106, time:2435828, size:18464 
checkpoint:107, time:2355979, size:17984 
checkpoint:108, time:1919379, size:14728 
checkpoint:109, time:534605, size:3440 
checkpoint:110, time:1658723, size:12520 
checkpoint:111, time:1904188, size:14136 
checkpoint:112, time:2806050, size:19208 
checkpoint:113, time:857110, size:6128 
checkpoint:114, time:1054043, size:7920 
checkpoint:115, time:2302059, size:16024 
checkpoint:116, time:2191987, size:16232 
checkpoint:117, time:3492571, size:24032 
checkpoint:118, time:1428412, size:10488 
checkpoint:119, time:977675, size:7288 
checkpoint:120, time:1042823, size:7688 
checkpoint:121, time:2264603, size:15664 
checkpoint:122, time:2914331, size:20856 
checkpoint:123, time:341269, size:1944 
checkpoint:124, time:3060966, size:22312 
checkpoint:125, time:308871, size:1712 
checkpoint:126, time:1314147, size:9168 
checkpoint:127, time:2972869, size:20568 
checkpoint:128, time:2035974, size:15232 
checkpoint:129, time:1607580, size:12224 
checkpoint:130, time:1602202, size:12216 
checkpoint:131, time:1898298, size:13824 
checkpoint:132, time:2024704, size:15208 
checkpoint:133, time:456117, size:2856 
checkpoint:134, time:1154337, size:8672 
checkpoint:135, time:111404, size:120 
checkpoint:136, time:884804, size:6520 
checkpoint:137, time:2185715, size:14808 
checkpoint:138, time:2525825, size:17176 
checkpoint:139, time:2394501, size:18208 
checkpoint:140, time:1085274, size:8104 
checkpoint:141, time:1965698, size:14952 
checkpoint:142, time:341405, size:1848 
checkpoint:143, time:2795138, size:19600 
checkpoint:144, time:824707, size:5848 
checkpoint:145, time:1057246, size:7824 
checkpoint:146, time:2021119, size:14208 
checkpoint:147, time:1049468, size:7920 
checkpoint:148, time:930673, size:6808 
checkpoint:149, time:959808, size:7072 
checkpoint:150, time:735722, size:5112 
checkpoint:151, time:1176338, size:8448 
checkpoint:152, time:111450, size:120 
checkpoint:153, time:1096671, size:8280 
checkpoint:154, time:890583, size:6456 
checkpoint:155, time:977623, size:7224 
checkpoint:156, time:1163447, size:8688 
checkpoint:157, time:2186774, size:14712 
checkpoint:158, time:2300434, size:16376 
checkpoint:159, time:2999943, size:21016 
checkpoint:160, time:1686766, size:12800 
checkpoint:161, time:1960002, size:14576 
checkpoint:162, time:1212764, size:9464 
checkpoint:163, time:1658986, size:12424 
checkpoint:164, time:1048377, size:7832 
checkpoint:165, time:1087843, size:8088 
checkpoint:166, time:1647032, size:11824 
checkpoint:167, time:2035118, size:14728 
checkpoint:168, time:1848813, size:14064 
checkpoint:169, time:1646511, size:12592 
checkpoint:170, time:1096570, size:8216 
checkpoint:171, time:2979135, size:20240 
checkpoint:172, time:909688, size:6720 
checkpoint:173, time:2105822, size:16032 
checkpoint:174, time:1112783, size:8352 
checkpoint:175, time:1083170, size:8280 
checkpoint:176, time:952452, size:7008 
checkpoint:177, time:202659, size:840 
checkpoint:178, time:1939908, size:12936 
checkpoint:179, time:2002823, size:14760 
checkpoint:180, time:1136042, size:8552 
