spawn telnet localhost 3456
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:13920666, size:98952 
checkpoint:2, time:10049233, size:98952 
checkpoint:3, time:7598728, size:74320 
checkpoint:4, time:10046417, size:98952 
checkpoint:5, time:7541116, size:74320 
checkpoint:6, time:10038553, size:98952 
checkpoint:7, time:10042004, size:98952 
checkpoint:8, time:7541491, size:74320 
checkpoint:9, time:5055097, size:49616 
checkpoint:10, time:2546239, size:24896 
checkpoint:11, time:5042116, size:49616 
checkpoint:12, time:5046048, size:49616 
checkpoint:13, time:2541022, size:24896 
checkpoint:14, time:5043100, size:49616 
checkpoint:15, time:5051426, size:49616 
checkpoint:16, time:5042259, size:49616 
checkpoint:17, time:5044424, size:49616 
checkpoint:18, time:2545802, size:24896 
checkpoint:19, time:10037264, size:98952 
checkpoint:20, time:2540809, size:24896 
checkpoint:21, time:5053856, size:49616 
checkpoint:22, time:2556968, size:24896 
checkpoint:23, time:7541710, size:74320 
checkpoint:24, time:7538454, size:74320 
checkpoint:25, time:2556711, size:24896 
checkpoint:26, time:2546141, size:24896 
checkpoint:27, time:10043226, size:98952 
checkpoint:28, time:5035823, size:49616 
checkpoint:29, time:10046123, size:98952 
checkpoint:30, time:5051047, size:49616 
checkpoint:31, time:2541281, size:24896 
checkpoint:32, time:2540043, size:24896 
checkpoint:33, time:2550215, size:24896 
checkpoint:34, time:2541573, size:24896 
checkpoint:35, time:10043853, size:98952 
checkpoint:36, time:5037545, size:49616 
checkpoint:37, time:7536214, size:74320 
checkpoint:38, time:2544079, size:24896 
checkpoint:39, time:5039559, size:49616 
checkpoint:40, time:5038551, size:49616 
checkpoint:41, time:7541860, size:74320 
checkpoint:42, time:2558908, size:24896 
checkpoint:43, time:660994, size:6000 
checkpoint:44, time:2534954, size:24896 
checkpoint:45, time:7538534, size:74320 
checkpoint:46, time:5043663, size:49616 
checkpoint:47, time:5039445, size:49616 
checkpoint:48, time:2545963, size:24896 
checkpoint:49, time:2539192, size:24896 
checkpoint:50, time:2540096, size:24896 
checkpoint:51, time:5036741, size:49616 
checkpoint:52, time:2545615, size:24896 
checkpoint:53, time:2539807, size:24896 
checkpoint:54, time:2545322, size:24896 
checkpoint:55, time:7488280, size:73568 
checkpoint:56, time:2549024, size:24896 
checkpoint:57, time:2544816, size:24896 
checkpoint:58, time:2544993, size:24896 
checkpoint:59, time:5044431, size:49616 
checkpoint:60, time:2542709, size:24896 
checkpoint:61, time:2541251, size:24896 
checkpoint:62, time:2544522, size:24896 
checkpoint:63, time:5034156, size:49536 
checkpoint:64, time:5041560, size:49616 
checkpoint:65, time:5042283, size:49616 
checkpoint:66, time:10044325, size:98952 
checkpoint:67, time:4830353, size:47408 
checkpoint:68, time:2544754, size:24896 
checkpoint:69, time:5046093, size:49616 
checkpoint:70, time:2545796, size:24896 
checkpoint:71, time:7536662, size:74320 
checkpoint:72, time:2542882, size:24896 
checkpoint:73, time:2549505, size:24896 
checkpoint:74, time:10049854, size:98952 
checkpoint:75, time:7539059, size:74320 
checkpoint:76, time:2541261, size:24896 
checkpoint:77, time:10046510, size:98952 
checkpoint:78, time:7536288, size:74320 
checkpoint:79, time:2540579, size:24896 
checkpoint:80, time:2543467, size:24896 
checkpoint:81, time:2548016, size:24896 
checkpoint:82, time:2544998, size:24896 
checkpoint:83, time:2541328, size:24896 
checkpoint:84, time:2544239, size:24896 
checkpoint:85, time:2547296, size:24896 
checkpoint:86, time:5040467, size:49616 
checkpoint:87, time:2544017, size:24896 
checkpoint:88, time:5041474, size:49616 
checkpoint:89, time:7546757, size:74320 
checkpoint:90, time:2540073, size:24896 
checkpoint:91, time:10039847, size:98952 
checkpoint:92, time:5042710, size:49616 
checkpoint:93, time:2542480, size:24896 
checkpoint:94, time:2540673, size:24896 
checkpoint:95, time:5046774, size:49616 
checkpoint:96, time:2545088, size:24896 
checkpoint:97, time:2540432, size:24896 
checkpoint:98, time:2545844, size:24896 
checkpoint:99, time:2549500, size:24896 
checkpoint:100, time:5043232, size:49616 
checkpoint:101, time:2540753, size:24896 
checkpoint:102, time:2553700, size:24896 
checkpoint:103, time:2541868, size:24896 
checkpoint:104, time:5038423, size:49616 
checkpoint:105, time:10041801, size:98952 
checkpoint:106, time:7539658, size:74320 
checkpoint:107, time:7541013, size:74320 
checkpoint:108, time:2543053, size:24896 
checkpoint:109, time:7537738, size:74320 
checkpoint:110, time:5054865, size:49616 
checkpoint:111, time:7549339, size:74320 
checkpoint:112, time:7472668, size:73568 
checkpoint:113, time:10046161, size:98952 
checkpoint:114, time:2542637, size:24896 
checkpoint:115, time:5041313, size:49616 
checkpoint:116, time:2540504, size:24896 
checkpoint:117, time:9912988, size:97520 
checkpoint:118, time:10042595, size:98952 
checkpoint:119, time:5040829, size:49616 
checkpoint:120, time:2540764, size:24896 
