spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:309074, size:968 
checkpoint:2, time:436350, size:1784 
checkpoint:3, time:576571, size:2640 
checkpoint:4, time:245876, size:976 
checkpoint:5, time:227734, size:768 
checkpoint:6, time:625561, size:2648 
checkpoint:7, time:236112, size:816 
checkpoint:8, time:246081, size:960 
checkpoint:9, time:434186, size:1816 
checkpoint:10, time:244771, size:960 
checkpoint:11, time:246097, size:976 
checkpoint:12, time:434142, size:1816 
checkpoint:13, time:140623, size:288 
checkpoint:14, time:405095, size:1880 
checkpoint:15, time:382895, size:1816 
checkpoint:16, time:417991, size:1944 
checkpoint:17, time:246283, size:976 
checkpoint:18, time:383704, size:1816 
checkpoint:19, time:381310, size:1808 
checkpoint:20, time:244831, size:960 
checkpoint:21, time:382237, size:1808 
checkpoint:22, time:569011, size:2648 
checkpoint:23, time:379713, size:1784 
checkpoint:24, time:379011, size:1784 
checkpoint:25, time:245221, size:960 
checkpoint:26, time:383596, size:1784 
checkpoint:27, time:115018, size:168 
checkpoint:28, time:247577, size:976 
checkpoint:29, time:433526, size:1816 
checkpoint:30, time:246302, size:976 
checkpoint:31, time:245972, size:976 
checkpoint:32, time:149230, size:328 
checkpoint:33, time:610627, size:2472 
