spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, time:2951955, size:98656 
checkpoint:2, time:1957829, size:90464 
checkpoint:3, time:2131346, size:98656 
checkpoint:4, time:1959609, size:90464 
checkpoint:5, time:4060276, size:164192 
checkpoint:6, time:3771221, size:172384 
checkpoint:7, time:4197311, size:188768 
checkpoint:8, time:1784351, size:82272 
checkpoint:9, time:8200557, size:328032 
checkpoint:10, time:4242103, size:196960 
checkpoint:11, time:1872891, size:86368 
checkpoint:12, time:1784479, size:82272 
checkpoint:13, time:6061370, size:282976 
checkpoint:14, time:1876906, size:86368 
checkpoint:15, time:3702459, size:172384 
checkpoint:16, time:5539579, size:258400 
checkpoint:17, time:2139768, size:98656 
checkpoint:18, time:1872836, size:86368 
checkpoint:19, time:2131395, size:98656 
checkpoint:20, time:1872809, size:86368 
checkpoint:21, time:3876663, size:180576 
checkpoint:22, time:1875194, size:86368 
checkpoint:23, time:6351760, size:295264 
checkpoint:24, time:5282686, size:246112 
checkpoint:25, time:3699724, size:172384 
checkpoint:26, time:1785107, size:82272 
checkpoint:27, time:4038708, size:188768 
checkpoint:28, time:3695669, size:172384 
checkpoint:29, time:6338341, size:295264 
checkpoint:30, time:1786006, size:82272 
checkpoint:31, time:7536163, size:344416 
checkpoint:32, time:3521649, size:164192 
checkpoint:33, time:6081069, size:282976 
checkpoint:34, time:1871105, size:86368 
checkpoint:35, time:4052728, size:188768 
checkpoint:36, time:4052732, size:188768 
checkpoint:37, time:4058118, size:188768 
checkpoint:38, time:1784620, size:82272 
checkpoint:39, time:4052723, size:188768 
checkpoint:40, time:4054526, size:188768 
checkpoint:41, time:2039248, size:94560 
checkpoint:42, time:8866218, size:393544 
checkpoint:43, time:3523448, size:164192 
checkpoint:44, time:2129505, size:98656 
checkpoint:45, time:4060379, size:188768 
checkpoint:46, time:3703098, size:172384 
