spawn telnet localhost 3464
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time:654864310,copy_size:2656050 
checkpoint:2,time:682811438,copy_size:2764096 
checkpoint:3,time:681204547,copy_size:2769254 
checkpoint:4,time:698249823,copy_size:2835458 
checkpoint:5,time:695277463,copy_size:2820068 
checkpoint:6,time:700386142,copy_size:2842962 
checkpoint:7,time:675601126,copy_size:2735214 
checkpoint:8,time:682440298,copy_size:2770296 
checkpoint:9,time:674115255,copy_size:2726132 
checkpoint:10,time:681487154,copy_size:2759070 
checkpoint:11,time:675225105,copy_size:2730090 
checkpoint:12,time:668807312,copy_size:2712352 
checkpoint:13,time:705556457,copy_size:2860928 
checkpoint:14,time:704446457,copy_size:2855022 
checkpoint:15,time:677136610,copy_size:2753504 
checkpoint:16,time:674322463,copy_size:2731558 
checkpoint:17,time:683803931,copy_size:2776292 
checkpoint:18,time:688740931,copy_size:2795948 
checkpoint:19,time:685704679,copy_size:2780000 
checkpoint:20,time:684956225,copy_size:2772692 
checkpoint:21,time:679153486,copy_size:2738160 
checkpoint:22,time:676094442,copy_size:2738466 
checkpoint:23,time:682953376,copy_size:2764092 
checkpoint:24,time:664538802,copy_size:2694588 
checkpoint:25,time:702056634,copy_size:2849058 
checkpoint:26,time:679404396,copy_size:2744946 
checkpoint:27,time:708172847,copy_size:2851766 
checkpoint:28,time:697215310,copy_size:2834620 
checkpoint:29,time:693990045,copy_size:2818128 
checkpoint:30,time:705221225,copy_size:2853844 
checkpoint:31,time:689927030,copy_size:2797958 
checkpoint:32,time:655208054,copy_size:2654904 
checkpoint:33,time:695825748,copy_size:2816664 
checkpoint:34,time:678032394,copy_size:2748086 
checkpoint:35,time:683427868,copy_size:2767186 
checkpoint:36,time:671126609,copy_size:2718240 
checkpoint:37,time:681332538,copy_size:2757466 
checkpoint:38,time:693106478,copy_size:2800324 
checkpoint:39,time:736595727,copy_size:2982724 
checkpoint:40,time:688861715,copy_size:2788986 
checkpoint:41,time:667804436,copy_size:2700914 
checkpoint:42,time:678643685,copy_size:2757190 
checkpoint:43,time:704729247,copy_size:2869076 
checkpoint:44,time:683022255,copy_size:2755846 
checkpoint:45,time:678216892,copy_size:2757510 
checkpoint:46,time:679440853,copy_size:2765414 
checkpoint:47,time:701571859,copy_size:2849944 
checkpoint:48,time:682694180,copy_size:2772400 
checkpoint:49,time:676328388,copy_size:2734006 
checkpoint:50,time:713667652,copy_size:2888528 
checkpoint:51,time:714729427,copy_size:2898908 
checkpoint:52,time:711532736,copy_size:2886140 
checkpoint:53,time:693227808,copy_size:2814502 
