spawn telnet localhost 3465
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time:1458162467,copy_size:3993262 
checkpoint:2,time:1579394051,copy_size:4327524 
checkpoint:3,time:1577383297,copy_size:4317790 
checkpoint:4,time:1566701655,copy_size:4289270 
checkpoint:5,time:1620113048,copy_size:4439450 
checkpoint:6,time:1537825796,copy_size:4208366 
checkpoint:7,time:1568157378,copy_size:4293392 
checkpoint:8,time:1584777967,copy_size:4342048 
checkpoint:9,time:1581472354,copy_size:4331040 
checkpoint:10,time:1507922583,copy_size:4124896 
checkpoint:11,time:1614714739,copy_size:4425380 
checkpoint:12,time:1567340585,copy_size:4291410 
checkpoint:13,time:1571765973,copy_size:4303598 
checkpoint:14,time:1596626529,copy_size:4375430 
checkpoint:15,time:1618766756,copy_size:4438488 
checkpoint:16,time:1574895472,copy_size:4312848 
checkpoint:17,time:1582187898,copy_size:4334080 
checkpoint:18,time:1514822496,copy_size:4143936 
checkpoint:19,time:1584658388,copy_size:4342432 
checkpoint:20,time:1609107616,copy_size:4409190 
checkpoint:21,time:1553663372,copy_size:4252874 
checkpoint:22,time:1560298021,copy_size:4272882 
checkpoint:23,time:1581144165,copy_size:4331436 
checkpoint:24,time:1591258066,copy_size:4360046 
checkpoint:25,time:1531090358,copy_size:4188508 
checkpoint:26,time:1575251589,copy_size:4314398 
checkpoint:27,time:1543129264,copy_size:4225390 
checkpoint:28,time:1517720706,copy_size:4151230 
checkpoint:29,time:1555344832,copy_size:4257322 
checkpoint:30,time:1524367775,copy_size:4170302 
checkpoint:31,time:1524488333,copy_size:4170344 
checkpoint:32,time:1608808979,copy_size:4409208 
checkpoint:33,time:1484448925,copy_size:4056666 
checkpoint:34,time:1588986859,copy_size:4352888 
checkpoint:35,time:1565670952,copy_size:4288134 
checkpoint:36,time:1515006448,copy_size:4143662 
checkpoint:37,time:1546509099,copy_size:4234674 
checkpoint:38,time:1546545084,copy_size:4231648 
checkpoint:39,time:1545771976,copy_size:4231754 
checkpoint:40,time:1547485721,copy_size:4233488 
checkpoint:41,time:1559272147,copy_size:4268614 
checkpoint:42,time:1601635349,copy_size:4387718 
checkpoint:43,time:1563986108,copy_size:4282636 
checkpoint:44,time:1584457279,copy_size:4339444 
checkpoint:45,time:1530444432,copy_size:4188410 
checkpoint:46,time:1601566814,copy_size:4387826 
checkpoint:47,time:1548935724,copy_size:4240314 
checkpoint:48,time:1565411538,copy_size:4284776 
checkpoint:49,time:1592939730,copy_size:4363486 
checkpoint:50,time:1556470670,copy_size:4261532 
checkpoint:51,time:1556770790,copy_size:4261182 
checkpoint:52,time:1573755300,copy_size:4311742 
checkpoint:53,time:1557372213,copy_size:4263868 
checkpoint:54,time:1577994457,copy_size:4322378 
checkpoint:55,time:1518284304,copy_size:4153552 
checkpoint:56,time:1585881373,copy_size:4344518 
checkpoint:57,time:1538332072,copy_size:4209918 
checkpoint:58,time:1583549730,copy_size:4339442 
checkpoint:59,time:1568914621,copy_size:4296150 
checkpoint:60,time:1558361270,copy_size:4263866 
checkpoint:61,time:1573613160,copy_size:4307794 
checkpoint:62,time:1539193970,copy_size:4210342 
checkpoint:63,time:1575521072,copy_size:4314416 
checkpoint:64,time:1573447829,copy_size:4308666 
checkpoint:65,time:1580556445,copy_size:4328240 
checkpoint:66,time:1555362835,copy_size:4257874 
checkpoint:67,time:1580373165,copy_size:4327444 
checkpoint:68,time:1546085847,copy_size:4232476 
checkpoint:69,time:1542841327,copy_size:4222126 
checkpoint:70,time:1533712637,copy_size:4197376 
checkpoint:71,time:1561292412,copy_size:4273502 
checkpoint:72,time:1579589258,copy_size:4326158 
checkpoint:73,time:1567047946,copy_size:4290906 
checkpoint:74,time:1548538919,copy_size:4237020 
checkpoint:75,time:1602274613,copy_size:4387790 
checkpoint:76,time:1534491937,copy_size:4197864 
checkpoint:77,time:1575258838,copy_size:4313498 
checkpoint:78,time:1559847622,copy_size:4270034 
checkpoint:79,time:1554310118,copy_size:4255112 
checkpoint:80,time:1539171907,copy_size:4212824 
checkpoint:81,time:1597725319,copy_size:4377094 
checkpoint:82,time:1551225718,copy_size:4247160 
checkpoint:83,time:1602408802,copy_size:4390734 
checkpoint:84,time:1571966388,copy_size:4304062 
checkpoint:85,time:1535094417,copy_size:4200404 
checkpoint:86,time:1513314508,copy_size:4139280 
checkpoint:87,time:1547728172,copy_size:4237858 
checkpoint:88,time:1542497273,copy_size:4220924 
checkpoint:89,time:1573162775,copy_size:4309476 
checkpoint:90,time:1623475240,copy_size:4450500 
checkpoint:91,time:1569653271,copy_size:4298236 
checkpoint:92,time:1529379054,copy_size:4185808 
checkpoint:93,time:1571343856,copy_size:4301418 
checkpoint:94,time:1572826429,copy_size:4307620 
checkpoint:95,time:1565240838,copy_size:4286214 
checkpoint:96,time:1576463421,copy_size:4316988 
checkpoint:97,time:1557309808,copy_size:4265170 
