spawn telnet localhost 3467
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time:829383791,copy_size:3349594 
checkpoint:2,time:928847946,copy_size:3760822 
checkpoint:3,time:912317550,copy_size:3699020 
checkpoint:4,time:917862478,copy_size:3704684 
checkpoint:5,time:918426415,copy_size:3720942 
checkpoint:6,time:927197538,copy_size:3744918 
checkpoint:7,time:908668829,copy_size:3673376 
checkpoint:8,time:919402688,copy_size:3708514 
checkpoint:9,time:911501489,copy_size:3680092 
checkpoint:10,time:931193390,copy_size:3768840 
checkpoint:11,time:922807595,copy_size:3732326 
checkpoint:12,time:918569913,copy_size:3720644 
checkpoint:13,time:912850370,copy_size:3692720 
checkpoint:14,time:910105087,copy_size:3680672 
checkpoint:15,time:930390151,copy_size:3758550 
checkpoint:16,time:920328880,copy_size:3710732 
checkpoint:17,time:939859522,copy_size:3790580 
checkpoint:18,time:917569075,copy_size:3708224 
checkpoint:19,time:921203219,copy_size:3727576 
checkpoint:20,time:913433463,copy_size:3676904 
checkpoint:21,time:930441702,copy_size:3754884 
checkpoint:22,time:907872130,copy_size:3674782 
checkpoint:23,time:926936784,copy_size:3749146 
checkpoint:24,time:902188618,copy_size:3643964 
checkpoint:25,time:906215190,copy_size:3665418 
checkpoint:26,time:936775042,copy_size:3781676 
checkpoint:27,time:922682979,copy_size:3723324 
checkpoint:28,time:917693388,copy_size:3706764 
checkpoint:29,time:922215637,copy_size:3718130 
checkpoint:30,time:923066817,copy_size:3728682 
checkpoint:31,time:941103171,copy_size:3801010 
checkpoint:32,time:903676466,copy_size:3661180 
checkpoint:33,time:930823411,copy_size:3760508 
checkpoint:34,time:921227000,copy_size:3734048 
