spawn telnet localhost 3468
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time:1894904338,copy_size:5189352 
checkpoint:2,time:2008204792,copy_size:5499766 
checkpoint:3,time:1937112648,copy_size:5304984 
checkpoint:4,time:1998925005,copy_size:5474242 
checkpoint:5,time:1900351056,copy_size:5204030 
checkpoint:6,time:2001282057,copy_size:5480678 
checkpoint:7,time:2025648266,copy_size:5547728 
checkpoint:8,time:1868925576,copy_size:5118034 
checkpoint:9,time:1925305056,copy_size:5272478 
checkpoint:10,time:1955851576,copy_size:5356244 
checkpoint:11,time:1984992077,copy_size:5436118 
checkpoint:12,time:2080060435,copy_size:5696708 
checkpoint:13,time:2055686233,copy_size:5629750 
checkpoint:14,time:1926633128,copy_size:5276266 
checkpoint:15,time:1811834780,copy_size:4961486 
checkpoint:16,time:1991116867,copy_size:5452866 
checkpoint:17,time:2007308504,copy_size:5497208 
checkpoint:18,time:2090435639,copy_size:5725226 
checkpoint:19,time:1953547930,copy_size:5349960 
checkpoint:20,time:1969360954,copy_size:5393358 
checkpoint:21,time:1938533236,copy_size:5308816 
checkpoint:22,time:1898709897,copy_size:5199656 
checkpoint:23,time:2070453189,copy_size:5670298 
checkpoint:24,time:1867288324,copy_size:5113446 
checkpoint:25,time:1872682521,copy_size:5128256 
checkpoint:26,time:1945749044,copy_size:5328490 
checkpoint:27,time:2010875617,copy_size:5507020 
checkpoint:28,time:1996979546,copy_size:5469032 
checkpoint:29,time:1904037386,copy_size:5214224 
checkpoint:30,time:2019342438,copy_size:5530328 
checkpoint:31,time:1877736371,copy_size:5142076 
checkpoint:32,time:1924419927,copy_size:5270094 
checkpoint:33,time:1940699515,copy_size:5314612 
checkpoint:34,time:1829510104,copy_size:5009928 
checkpoint:35,time:1911097534,copy_size:5233594 
checkpoint:36,time:1932137497,copy_size:5291220 
checkpoint:37,time:1995885891,copy_size:5465876 
checkpoint:38,time:1920169071,copy_size:5258338 
checkpoint:39,time:2097985350,copy_size:5745836 
checkpoint:40,time:2005993341,copy_size:5493656 
checkpoint:41,time:2058468807,copy_size:5637520 
checkpoint:42,time:1959190182,copy_size:5365394 
checkpoint:43,time:1936267462,copy_size:5302564 
checkpoint:44,time:1896524146,copy_size:5193538 
checkpoint:45,time:1858800606,copy_size:5090204 
checkpoint:46,time:1867956512,copy_size:5115354 
checkpoint:47,time:1985186749,copy_size:5436666 
checkpoint:48,time:1910974888,copy_size:5233238 
checkpoint:49,time:1891225231,copy_size:5179024 
checkpoint:50,time:1995694294,copy_size:5465500 
checkpoint:51,time:2063821345,copy_size:5652144 
checkpoint:52,time:1853106768,copy_size:5074652 
checkpoint:53,time:2059443543,copy_size:5640158 
checkpoint:54,time:1945219810,copy_size:5327164 
checkpoint:55,time:1857950338,copy_size:5087918 
checkpoint:56,time:2033953804,copy_size:5570390 
checkpoint:57,time:1962652116,copy_size:5374812 
checkpoint:58,time:1911651807,copy_size:5235126 
checkpoint:59,time:2051749236,copy_size:5618970 
checkpoint:60,time:1970986684,copy_size:5397824 
checkpoint:61,time:1956706467,copy_size:5358538 
checkpoint:62,time:1933663756,copy_size:5295374 
checkpoint:63,time:1983162864,copy_size:5431176 
checkpoint:64,time:1934102578,copy_size:5296538 
checkpoint:65,time:1970380173,copy_size:5396010 
checkpoint:66,time:1980355165,copy_size:5423356 
checkpoint:67,time:1902309372,copy_size:5209540 
checkpoint:68,time:1962834510,copy_size:5375432 
checkpoint:69,time:1832459083,copy_size:5017998 
checkpoint:70,time:1959581131,copy_size:5366466 
checkpoint:71,time:1911873723,copy_size:5235788 
checkpoint:72,time:1862524434,copy_size:5100466 
checkpoint:73,time:1756805915,copy_size:4810640 
checkpoint:74,time:1994990434,copy_size:5463624 
