spawn telnet localhost 3469
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time:802683043,copy_size:3272976 
checkpoint:2,time:867713763,copy_size:3538390 
checkpoint:3,time:861909883,copy_size:3529364 
checkpoint:4,time:842776594,copy_size:3433962 
checkpoint:5,time:862819108,copy_size:3510270 
checkpoint:6,time:871973661,copy_size:3547940 
checkpoint:7,time:887717408,copy_size:3624190 
checkpoint:8,time:860849225,copy_size:3507864 
checkpoint:9,time:882381964,copy_size:3603148 
checkpoint:10,time:855195694,copy_size:3487880 
checkpoint:11,time:825901985,copy_size:3351598 
checkpoint:12,time:862230438,copy_size:3528224 
checkpoint:13,time:872305562,copy_size:3564168 
checkpoint:14,time:880500634,copy_size:3589444 
checkpoint:15,time:876861916,copy_size:3584020 
checkpoint:16,time:880643066,copy_size:3586400 
checkpoint:17,time:848082904,copy_size:3462252 
checkpoint:18,time:844321637,copy_size:3407736 
checkpoint:19,time:881795135,copy_size:3599822 
checkpoint:20,time:870848627,copy_size:3556656 
checkpoint:21,time:864476847,copy_size:3507666 
checkpoint:22,time:875475814,copy_size:3566370 
checkpoint:23,time:870185015,copy_size:3548478 
checkpoint:24,time:838859916,copy_size:3416222 
checkpoint:25,time:840241597,copy_size:3409530 
checkpoint:26,time:850670655,copy_size:3460446 
checkpoint:27,time:844288949,copy_size:3436988 
checkpoint:28,time:854008729,copy_size:3476862 
checkpoint:29,time:834562231,copy_size:3399838 
checkpoint:30,time:898993466,copy_size:3663096 
checkpoint:31,time:799853789,copy_size:3265912 
checkpoint:32,time:860371084,copy_size:3490828 
