spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:105801, time_merge:0, copy_size:0 
checkpoint:2, log_time:73050, time_merge:0, copy_size:0 
checkpoint:3, log_time:73356, time_merge:4733008, copy_size:270720 
checkpoint:4, log_time:73787, time_merge:0, copy_size:0 
checkpoint:5, log_time:74049, time_merge:3760865, copy_size:270208 
checkpoint:6, log_time:73154, time_merge:0, copy_size:0 
checkpoint:7, log_time:73025, time_merge:4240245, copy_size:264576 
checkpoint:8, log_time:73311, time_merge:0, copy_size:0 
checkpoint:9, log_time:73824, time_merge:3716302, copy_size:271168 
checkpoint:10, log_time:73790, time_merge:0, copy_size:0 
checkpoint:11, log_time:73997, time_merge:3628073, copy_size:264192 
checkpoint:12, log_time:73862, time_merge:0, copy_size:0 
checkpoint:13, log_time:73869, time_merge:3645220, copy_size:264128 
checkpoint:14, log_time:73839, time_merge:0, copy_size:0 
checkpoint:15, log_time:73845, time_merge:3634746, copy_size:264128 
checkpoint:16, log_time:73043, time_merge:0, copy_size:0 
checkpoint:17, log_time:73857, time_merge:3700965, copy_size:267520 
checkpoint:18, log_time:73832, time_merge:0, copy_size:0 
checkpoint:19, log_time:73206, time_merge:3672883, copy_size:266432 
checkpoint:20, log_time:73844, time_merge:0, copy_size:0 
checkpoint:21, log_time:73235, time_merge:3609972, copy_size:263936 
checkpoint:22, log_time:73037, time_merge:0, copy_size:0 
checkpoint:23, log_time:73123, time_merge:3633578, copy_size:264704 
checkpoint:24, log_time:73029, time_merge:0, copy_size:0 
checkpoint:25, log_time:73029, time_merge:3626581, copy_size:264704 
checkpoint:26, log_time:73118, time_merge:0, copy_size:0 
