spawn telnet localhost 3459
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:1936519, time_merge:4989904, copy_size:0 
checkpoint:2, log_time:961685, time_merge:0, copy_size:0 
checkpoint:3, log_time:960876, time_merge:1708797, copy_size:15040 
checkpoint:4, log_time:963202, time_merge:0, copy_size:0 
checkpoint:5, log_time:962043, time_merge:0, copy_size:0 
checkpoint:6, log_time:961631, time_merge:0, copy_size:0 
checkpoint:7, log_time:963162, time_merge:0, copy_size:0 
checkpoint:8, log_time:962120, time_merge:0, copy_size:0 
checkpoint:9, log_time:962735, time_merge:0, copy_size:0 
checkpoint:10, log_time:961664, time_merge:0, copy_size:0 
checkpoint:11, log_time:962687, time_merge:0, copy_size:0 
checkpoint:12, log_time:962411, time_merge:0, copy_size:0 
checkpoint:13, log_time:961316, time_merge:0, copy_size:0 
checkpoint:14, log_time:962105, time_merge:0, copy_size:0 
checkpoint:15, log_time:963183, time_merge:0, copy_size:0 
checkpoint:16, log_time:962850, time_merge:0, copy_size:0 
checkpoint:17, log_time:961301, time_merge:0, copy_size:0 
checkpoint:18, log_time:962847, time_merge:0, copy_size:0 
checkpoint:19, log_time:961912, time_merge:0, copy_size:0 
checkpoint:20, log_time:963189, time_merge:0, copy_size:0 
checkpoint:21, log_time:961739, time_merge:0, copy_size:0 
checkpoint:22, log_time:961874, time_merge:0, copy_size:0 
checkpoint:23, log_time:947228, time_merge:1779143, copy_size:15104 
checkpoint:24, log_time:962099, time_merge:0, copy_size:0 
checkpoint:25, log_time:962229, time_merge:0, copy_size:0 
checkpoint:26, log_time:962920, time_merge:0, copy_size:0 
checkpoint:27, log_time:961643, time_merge:0, copy_size:0 
checkpoint:28, log_time:961903, time_merge:0, copy_size:0 
checkpoint:29, log_time:962884, time_merge:0, copy_size:0 
checkpoint:30, log_time:962415, time_merge:0, copy_size:0 
checkpoint:31, log_time:962250, time_merge:0, copy_size:0 
checkpoint:32, log_time:963621, time_merge:0, copy_size:0 
checkpoint:33, log_time:962196, time_merge:0, copy_size:0 
checkpoint:34, log_time:963587, time_merge:0, copy_size:0 
checkpoint:35, log_time:962053, time_merge:0, copy_size:0 
checkpoint:36, log_time:963307, time_merge:0, copy_size:0 
checkpoint:37, log_time:963592, time_merge:0, copy_size:0 
checkpoint:38, log_time:961644, time_merge:0, copy_size:0 
checkpoint:39, log_time:963270, time_merge:0, copy_size:0 
checkpoint:40, log_time:962460, time_merge:0, copy_size:0 
checkpoint:41, log_time:963349, time_merge:0, copy_size:0 
