spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:77774, time_merge:0, copy_size:0 
checkpoint:2, log_time:53406, time_merge:0, copy_size:0 
checkpoint:3, log_time:53466, time_merge:0, copy_size:0 
checkpoint:4, log_time:53532, time_merge:0, copy_size:0 
checkpoint:5, log_time:53424, time_merge:0, copy_size:0 
checkpoint:6, log_time:53439, time_merge:0, copy_size:0 
checkpoint:7, log_time:53430, time_merge:0, copy_size:0 
checkpoint:8, log_time:53610, time_merge:0, copy_size:0 
checkpoint:9, log_time:53466, time_merge:0, copy_size:0 
checkpoint:10, log_time:53426, time_merge:0, copy_size:0 
checkpoint:11, log_time:53556, time_merge:0, copy_size:0 
checkpoint:12, log_time:53468, time_merge:0, copy_size:0 
checkpoint:13, log_time:53469, time_merge:0, copy_size:0 
checkpoint:14, log_time:53454, time_merge:0, copy_size:0 
checkpoint:15, log_time:53417, time_merge:0, copy_size:0 
checkpoint:16, log_time:53499, time_merge:0, copy_size:0 
checkpoint:17, log_time:53388, time_merge:0, copy_size:0 
checkpoint:18, log_time:53601, time_merge:0, copy_size:0 
checkpoint:19, log_time:53586, time_merge:0, copy_size:0 
checkpoint:20, log_time:53454, time_merge:0, copy_size:0 
checkpoint:21, log_time:53475, time_merge:2683084, copy_size:156160 
checkpoint:22, log_time:53469, time_merge:0, copy_size:0 
checkpoint:23, log_time:53532, time_merge:0, copy_size:0 
checkpoint:24, log_time:53445, time_merge:0, copy_size:0 
checkpoint:25, log_time:53603, time_merge:0, copy_size:0 
checkpoint:26, log_time:53469, time_merge:0, copy_size:0 
checkpoint:27, log_time:53544, time_merge:0, copy_size:0 
checkpoint:28, log_time:53634, time_merge:0, copy_size:0 
checkpoint:29, log_time:53529, time_merge:0, copy_size:0 
checkpoint:30, log_time:53406, time_merge:0, copy_size:0 
checkpoint:31, log_time:53402, time_merge:0, copy_size:0 
checkpoint:32, log_time:53556, time_merge:0, copy_size:0 
checkpoint:33, log_time:53459, time_merge:0, copy_size:0 
checkpoint:34, log_time:53567, time_merge:0, copy_size:0 
checkpoint:35, log_time:53577, time_merge:0, copy_size:0 
checkpoint:36, log_time:53616, time_merge:0, copy_size:0 
checkpoint:37, log_time:53415, time_merge:0, copy_size:0 
checkpoint:38, log_time:53546, time_merge:0, copy_size:0 
checkpoint:39, log_time:53553, time_merge:0, copy_size:0 
checkpoint:40, log_time:53514, time_merge:0, copy_size:0 
checkpoint:41, log_time:53531, time_merge:2241118, copy_size:156160 
checkpoint:42, log_time:53478, time_merge:0, copy_size:0 
checkpoint:43, log_time:53553, time_merge:0, copy_size:0 
checkpoint:44, log_time:53468, time_merge:0, copy_size:0 
checkpoint:45, log_time:53396, time_merge:0, copy_size:0 
checkpoint:46, log_time:53472, time_merge:0, copy_size:0 
checkpoint:47, log_time:53463, time_merge:0, copy_size:0 
checkpoint:48, log_time:53475, time_merge:0, copy_size:0 
checkpoint:49, log_time:53481, time_merge:0, copy_size:0 
checkpoint:50, log_time:53570, time_merge:0, copy_size:0 
checkpoint:51, log_time:53451, time_merge:0, copy_size:0 
checkpoint:52, log_time:53394, time_merge:0, copy_size:0 
checkpoint:53, log_time:53576, time_merge:0, copy_size:0 
checkpoint:54, log_time:53382, time_merge:0, copy_size:0 
checkpoint:55, log_time:53388, time_merge:0, copy_size:0 
checkpoint:56, log_time:53397, time_merge:0, copy_size:0 
checkpoint:57, log_time:53595, time_merge:0, copy_size:0 
checkpoint:58, log_time:53577, time_merge:0, copy_size:0 
checkpoint:59, log_time:53423, time_merge:0, copy_size:0 
checkpoint:60, log_time:53541, time_merge:0, copy_size:0 
checkpoint:61, log_time:53540, time_merge:2100574, copy_size:156160 
checkpoint:62, log_time:53549, time_merge:0, copy_size:0 
