spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:1456952, time_merge:338441293, copy_size:0 
checkpoint:2, log_time:935064, time_merge:9643159, copy_size:179136 
checkpoint:3, log_time:946147, time_merge:10401323, copy_size:236800 
checkpoint:4, log_time:951989, time_merge:8598708, copy_size:215808 
checkpoint:5, log_time:956805, time_merge:11228622, copy_size:304512 
checkpoint:6, log_time:959191, time_merge:11614236, copy_size:338816 
checkpoint:7, log_time:962697, time_merge:12611287, copy_size:413120 
checkpoint:8, log_time:957792, time_merge:13330620, copy_size:469248 
checkpoint:9, log_time:961346, time_merge:14334874, copy_size:547200 
checkpoint:10, log_time:960878, time_merge:14932850, copy_size:592256 
checkpoint:11, log_time:989218, time_merge:12849719, copy_size:544000 
checkpoint:12, log_time:984045, time_merge:16595873, copy_size:721152 
checkpoint:13, log_time:1000366, time_merge:17208109, copy_size:765504 
checkpoint:14, log_time:984843, time_merge:17371105, copy_size:779840 
checkpoint:15, log_time:987327, time_merge:17993347, copy_size:827904 
checkpoint:16, log_time:991449, time_merge:19135319, copy_size:914944 
checkpoint:17, log_time:998719, time_merge:15462022, copy_size:745536 
checkpoint:18, log_time:999495, time_merge:20374564, copy_size:1011904 
checkpoint:19, log_time:1003689, time_merge:21302291, copy_size:1084864 
checkpoint:20, log_time:1066810, time_merge:21533009, copy_size:1099392 
checkpoint:21, log_time:1001954, time_merge:22178285, copy_size:1153664 
checkpoint:22, log_time:1008082, time_merge:22428591, copy_size:1172800 
checkpoint:23, log_time:1009245, time_merge:23256268, copy_size:1239616 
checkpoint:24, log_time:1020834, time_merge:19427309, copy_size:1056192 
checkpoint:25, log_time:1034626, time_merge:25363405, copy_size:1403520 
checkpoint:26, log_time:1029464, time_merge:24678775, copy_size:1349056 
checkpoint:27, log_time:1024176, time_merge:25058812, copy_size:1379264 
checkpoint:28, log_time:1121594, time_merge:25865817, copy_size:1440512 
checkpoint:29, log_time:1048367, time_merge:27107815, copy_size:1535424 
checkpoint:30, log_time:1042197, time_merge:26216120, copy_size:1469696 
checkpoint:31, log_time:1050642, time_merge:21872766, copy_size:1244736 
checkpoint:32, log_time:1066733, time_merge:27837391, copy_size:1596608 
checkpoint:33, log_time:1053890, time_merge:29150701, copy_size:1699072 
checkpoint:34, log_time:1074111, time_merge:28131272, copy_size:1617408 
checkpoint:35, log_time:1079801, time_merge:28670051, copy_size:1660736 
checkpoint:36, log_time:1174662, time_merge:30296626, copy_size:1773056 
checkpoint:37, log_time:1085585, time_merge:29302600, copy_size:1709440 
checkpoint:38, log_time:1084727, time_merge:23978907, copy_size:1408320 
checkpoint:39, log_time:1113375, time_merge:31232261, copy_size:1849856 
checkpoint:40, log_time:1115379, time_merge:30459367, copy_size:1799680 
checkpoint:41, log_time:1127964, time_merge:31971208, copy_size:1907520 
checkpoint:42, log_time:1131381, time_merge:32519696, copy_size:1958528 
checkpoint:43, log_time:1173414, time_merge:33717784, copy_size:2045888 
checkpoint:44, log_time:1222740, time_merge:32631319, copy_size:1933824 
checkpoint:45, log_time:1158856, time_merge:26273958, copy_size:1581376 
checkpoint:46, log_time:1163066, time_merge:33294059, copy_size:2000704 
checkpoint:47, log_time:1168102, time_merge:33411236, copy_size:2014464 
checkpoint:48, log_time:1178501, time_merge:35630607, copy_size:2183808 
checkpoint:49, log_time:1202954, time_merge:35765134, copy_size:2203456 
checkpoint:50, log_time:1185619, time_merge:36133744, copy_size:2227712 
checkpoint:51, log_time:1213563, time_merge:29035631, copy_size:1787904 
checkpoint:52, log_time:1224252, time_merge:36223780, copy_size:2220160 
checkpoint:53, log_time:1251179, time_merge:36113004, copy_size:2212352 
checkpoint:54, log_time:1242433, time_merge:36596897, copy_size:2230464 
checkpoint:55, log_time:1180051, time_merge:35078117, copy_size:2148608 
checkpoint:56, log_time:1251054, time_merge:36701376, copy_size:2231936 
checkpoint:57, log_time:1218427, time_merge:35749961, copy_size:2182016 
checkpoint:58, log_time:1232738, time_merge:29342397, copy_size:1794752 
checkpoint:59, log_time:1217201, time_merge:35882712, copy_size:2183616 
checkpoint:60, log_time:1174853, time_merge:36093443, copy_size:2216768 
checkpoint:61, log_time:1197667, time_merge:36519766, copy_size:2236800 
checkpoint:62, log_time:1176279, time_merge:38080491, copy_size:2354944 
checkpoint:63, log_time:1172085, time_merge:36436409, copy_size:2234752 
checkpoint:64, log_time:1185704, time_merge:38351262, copy_size:2379648 
checkpoint:65, log_time:1207078, time_merge:30641622, copy_size:1907136 
checkpoint:66, log_time:1235588, time_merge:37992067, copy_size:2367488 
checkpoint:67, log_time:1204997, time_merge:38755766, copy_size:2398080 
checkpoint:68, log_time:1200427, time_merge:39243247, copy_size:2446016 
checkpoint:69, log_time:1205223, time_merge:39326092, copy_size:2460352 
