spawn telnet localhost 3458
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11C258 EBP=0x11C2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1,time_prosper:1909005,size_prosper:6304,time_ssp:1617381,time_merge:5751324,size_ssp:0
checkpoint:2,time_prosper:1937394,size_prosper:7672,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:3,time_prosper:3259805,size_prosper:12104,time_ssp:785134,time_merge:699837,size_ssp:0
checkpoint:4,time_prosper:2111175,size_prosper:8816,time_ssp:806924,time_merge:0,size_ssp:0
checkpoint:5,time_prosper:3298535,size_prosper:13304,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:6,time_prosper:1777403,size_prosper:7240,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:7,time_prosper:1629787,size_prosper:6648,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:8,time_prosper:2180850,size_prosper:8872,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:9,time_prosper:1702727,size_prosper:7016,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:10,time_prosper:5641286,size_prosper:20312,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:11,time_prosper:1823162,size_prosper:7432,time_ssp:813225,time_merge:0,size_ssp:0
checkpoint:12,time_prosper:3166103,size_prosper:12648,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:13,time_prosper:2108929,size_prosper:8720,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:14,time_prosper:1983643,size_prosper:8032,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:15,time_prosper:1321658,size_prosper:5200,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:16,time_prosper:2439258,size_prosper:9480,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:17,time_prosper:5516082,size_prosper:20248,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:18,time_prosper:1714565,size_prosper:7024,time_ssp:810051,time_merge:0,size_ssp:0
checkpoint:19,time_prosper:4392354,size_prosper:17288,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:20,time_prosper:3115880,size_prosper:12784,time_ssp:806195,time_merge:0,size_ssp:0
checkpoint:21,time_prosper:2061300,size_prosper:8464,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:22,time_prosper:3016391,size_prosper:12264,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:23,time_prosper:1847027,size_prosper:7608,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:24,time_prosper:686808,size_prosper:2400,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:25,time_prosper:2459947,size_prosper:9312,time_ssp:772500,time_merge:699717,size_ssp:0
checkpoint:26,time_prosper:2080544,size_prosper:8376,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:27,time_prosper:2070481,size_prosper:8584,time_ssp:806197,time_merge:0,size_ssp:0
checkpoint:28,time_prosper:3684565,size_prosper:14032,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:29,time_prosper:2649415,size_prosper:10776,time_ssp:806894,time_merge:0,size_ssp:0
checkpoint:30,time_prosper:3246856,size_prosper:13216,time_ssp:806894,time_merge:0,size_ssp:0
checkpoint:31,time_prosper:413688,size_prosper:1384,time_ssp:807653,time_merge:0,size_ssp:0
checkpoint:32,time_prosper:4915634,size_prosper:18208,time_ssp:806194,time_merge:0,size_ssp:0
checkpoint:33,time_prosper:2823908,size_prosper:11480,time_ssp:813470,time_merge:0,size_ssp:0
checkpoint:34,time_prosper:3251021,size_prosper:13304,time_ssp:806198,time_merge:0,size_ssp:0
checkpoint:35,time_prosper:2089406,size_prosper:8552,time_ssp:808356,time_merge:0,size_ssp:0
checkpoint:36,time_prosper:3767039,size_prosper:14896,time_ssp:806222,time_merge:0,size_ssp:0
checkpoint:37,time_prosper:3369928,size_prosper:13824,time_ssp:806225,time_merge:0,size_ssp:0
checkpoint:38,time_prosper:3133334,size_prosper:12752,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:39,time_prosper:5632115,size_prosper:20832,time_ssp:806221,time_merge:0,size_ssp:0
checkpoint:40,time_prosper:4748460,size_prosper:18832,time_ssp:817083,time_merge:0,size_ssp:0
checkpoint:41,time_prosper:4434562,size_prosper:17840,time_ssp:821164,time_merge:0,size_ssp:0
checkpoint:42,time_prosper:4844697,size_prosper:19088,time_ssp:821903,time_merge:0,size_ssp:0
