spawn telnet localhost 3462
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
BUG!!!! commit bitmap
checkpoint:1, log_time:2237817, time_merge:4989904, copy_size:0 
checkpoint:2, log_time:985782, time_merge:0, copy_size:0 
checkpoint:3, log_time:986012, time_merge:2943639, copy_size:104256 
checkpoint:4, log_time:981985, time_merge:0, copy_size:0 
checkpoint:5, log_time:984612, time_merge:0, copy_size:0 
checkpoint:6, log_time:984162, time_merge:0, copy_size:0 
checkpoint:7, log_time:980835, time_merge:0, copy_size:0 
checkpoint:8, log_time:983197, time_merge:0, copy_size:0 
checkpoint:9, log_time:979021, time_merge:0, copy_size:0 
checkpoint:10, log_time:977295, time_merge:0, copy_size:0 
checkpoint:11, log_time:979377, time_merge:0, copy_size:0 
checkpoint:12, log_time:979415, time_merge:0, copy_size:0 
checkpoint:13, log_time:974180, time_merge:0, copy_size:0 
checkpoint:14, log_time:977933, time_merge:0, copy_size:0 
checkpoint:15, log_time:975324, time_merge:0, copy_size:0 
checkpoint:16, log_time:976093, time_merge:0, copy_size:0 
checkpoint:17, log_time:975603, time_merge:0, copy_size:0 
checkpoint:18, log_time:973960, time_merge:0, copy_size:0 
checkpoint:19, log_time:974367, time_merge:0, copy_size:0 
checkpoint:20, log_time:973425, time_merge:0, copy_size:0 
checkpoint:21, log_time:973001, time_merge:0, copy_size:0 
checkpoint:22, log_time:973490, time_merge:0, copy_size:0 
checkpoint:23, log_time:974602, time_merge:6770491, copy_size:292864 
checkpoint:24, log_time:974941, time_merge:0, copy_size:0 
checkpoint:25, log_time:973751, time_merge:0, copy_size:0 
checkpoint:26, log_time:972158, time_merge:0, copy_size:0 
checkpoint:27, log_time:973757, time_merge:0, copy_size:0 
checkpoint:28, log_time:972747, time_merge:0, copy_size:0 
checkpoint:29, log_time:972507, time_merge:0, copy_size:0 
checkpoint:30, log_time:972496, time_merge:0, copy_size:0 
checkpoint:31, log_time:972759, time_merge:0, copy_size:0 
checkpoint:32, log_time:973256, time_merge:0, copy_size:0 
checkpoint:33, log_time:973802, time_merge:0, copy_size:0 
checkpoint:34, log_time:972018, time_merge:0, copy_size:0 
checkpoint:35, log_time:972529, time_merge:0, copy_size:0 
checkpoint:36, log_time:972500, time_merge:0, copy_size:0 
checkpoint:37, log_time:973007, time_merge:0, copy_size:0 
checkpoint:38, log_time:972501, time_merge:0, copy_size:0 
checkpoint:39, log_time:973255, time_merge:0, copy_size:0 
checkpoint:40, log_time:972259, time_merge:0, copy_size:0 
checkpoint:41, log_time:972966, time_merge:0, copy_size:0 
checkpoint:42, log_time:972088, time_merge:0, copy_size:0 
checkpoint:43, log_time:984342, time_merge:7842801, copy_size:337408 
checkpoint:44, log_time:972529, time_merge:0, copy_size:0 
checkpoint:45, log_time:973261, time_merge:0, copy_size:0 
checkpoint:46, log_time:972532, time_merge:0, copy_size:0 
checkpoint:47, log_time:973263, time_merge:0, copy_size:0 
checkpoint:48, log_time:972318, time_merge:0, copy_size:0 
checkpoint:49, log_time:972705, time_merge:0, copy_size:0 
checkpoint:50, log_time:972337, time_merge:0, copy_size:0 
checkpoint:51, log_time:972246, time_merge:0, copy_size:0 
checkpoint:52, log_time:972871, time_merge:0, copy_size:0 
checkpoint:53, log_time:973159, time_merge:0, copy_size:0 
checkpoint:54, log_time:972931, time_merge:0, copy_size:0 
checkpoint:55, log_time:972273, time_merge:0, copy_size:0 
checkpoint:56, log_time:972281, time_merge:0, copy_size:0 
checkpoint:57, log_time:972281, time_merge:0, copy_size:0 
checkpoint:58, log_time:972251, time_merge:0, copy_size:0 
checkpoint:59, log_time:973216, time_merge:0, copy_size:0 
checkpoint:60, log_time:972779, time_merge:0, copy_size:0 
checkpoint:61, log_time:972996, time_merge:0, copy_size:0 
checkpoint:62, log_time:972739, time_merge:0, copy_size:0 
checkpoint:63, log_time:1030936, time_merge:9821499, copy_size:417536 
checkpoint:64, log_time:972333, time_merge:0, copy_size:0 
checkpoint:65, log_time:973241, time_merge:0, copy_size:0 
checkpoint:66, log_time:972742, time_merge:0, copy_size:0 
checkpoint:67, log_time:972285, time_merge:0, copy_size:0 
checkpoint:68, log_time:972755, time_merge:0, copy_size:0 
checkpoint:69, log_time:972522, time_merge:0, copy_size:0 
checkpoint:70, log_time:972491, time_merge:0, copy_size:0 
checkpoint:71, log_time:972314, time_merge:0, copy_size:0 
checkpoint:72, log_time:972496, time_merge:0, copy_size:0 
checkpoint:73, log_time:972987, time_merge:0, copy_size:0 
checkpoint:74, log_time:974128, time_merge:0, copy_size:0 
checkpoint:75, log_time:973492, time_merge:0, copy_size:0 
checkpoint:76, log_time:973210, time_merge:0, copy_size:0 
checkpoint:77, log_time:973046, time_merge:0, copy_size:0 
checkpoint:78, log_time:974328, time_merge:0, copy_size:0 
checkpoint:79, log_time:973004, time_merge:0, copy_size:0 
checkpoint:80, log_time:976527, time_merge:0, copy_size:0 
checkpoint:81, log_time:973471, time_merge:0, copy_size:0 
checkpoint:82, log_time:973484, time_merge:0, copy_size:0 
checkpoint:83, log_time:972739, time_merge:0, copy_size:0 
checkpoint:84, log_time:1156713, time_merge:11935947, copy_size:509120 
checkpoint:85, log_time:973025, time_merge:0, copy_size:0 
checkpoint:86, log_time:975944, time_merge:0, copy_size:0 
checkpoint:87, log_time:973660, time_merge:0, copy_size:0 
checkpoint:88, log_time:974380, time_merge:0, copy_size:0 
checkpoint:89, log_time:973580, time_merge:0, copy_size:0 
checkpoint:90, log_time:972675, time_merge:0, copy_size:0 
checkpoint:91, log_time:973262, time_merge:0, copy_size:0 
checkpoint:92, log_time:973962, time_merge:0, copy_size:0 
checkpoint:93, log_time:973514, time_merge:0, copy_size:0 
checkpoint:94, log_time:975593, time_merge:0, copy_size:0 
checkpoint:95, log_time:973220, time_merge:0, copy_size:0 
checkpoint:96, log_time:973250, time_merge:0, copy_size:0 
checkpoint:97, log_time:972679, time_merge:0, copy_size:0 
checkpoint:98, log_time:974277, time_merge:0, copy_size:0 
checkpoint:99, log_time:974402, time_merge:0, copy_size:0 
checkpoint:100, log_time:971789, time_merge:0, copy_size:0 
checkpoint:101, log_time:973708, time_merge:0, copy_size:0 
checkpoint:102, log_time:973209, time_merge:0, copy_size:0 
checkpoint:103, log_time:972275, time_merge:0, copy_size:0 
checkpoint:104, log_time:1105013, time_merge:12191843, copy_size:513088 
