spawn telnet localhost 3463
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:1941601, time_merge:4989904, copy_size:0 
checkpoint:2, log_time:962812, time_merge:0, copy_size:0 
checkpoint:3, log_time:962494, time_merge:1771302, copy_size:16960 
checkpoint:4, log_time:963510, time_merge:0, copy_size:0 
checkpoint:5, log_time:962355, time_merge:0, copy_size:0 
checkpoint:6, log_time:962838, time_merge:0, copy_size:0 
checkpoint:7, log_time:963699, time_merge:0, copy_size:0 
checkpoint:8, log_time:962938, time_merge:0, copy_size:0 
checkpoint:9, log_time:964155, time_merge:0, copy_size:0 
checkpoint:10, log_time:962842, time_merge:0, copy_size:0 
checkpoint:11, log_time:963415, time_merge:0, copy_size:0 
checkpoint:12, log_time:963673, time_merge:0, copy_size:0 
checkpoint:13, log_time:962128, time_merge:0, copy_size:0 
checkpoint:14, log_time:963390, time_merge:0, copy_size:0 
checkpoint:15, log_time:965895, time_merge:0, copy_size:0 
checkpoint:16, log_time:964385, time_merge:0, copy_size:0 
checkpoint:17, log_time:963532, time_merge:0, copy_size:0 
checkpoint:18, log_time:964750, time_merge:0, copy_size:0 
checkpoint:19, log_time:963919, time_merge:0, copy_size:0 
checkpoint:20, log_time:965450, time_merge:0, copy_size:0 
checkpoint:21, log_time:963718, time_merge:0, copy_size:0 
checkpoint:22, log_time:964406, time_merge:0, copy_size:0 
checkpoint:23, log_time:950321, time_merge:2043786, copy_size:19712 
checkpoint:24, log_time:964380, time_merge:0, copy_size:0 
checkpoint:25, log_time:963982, time_merge:0, copy_size:0 
checkpoint:26, log_time:964697, time_merge:0, copy_size:0 
checkpoint:27, log_time:965232, time_merge:0, copy_size:0 
checkpoint:28, log_time:965243, time_merge:0, copy_size:0 
checkpoint:29, log_time:965367, time_merge:0, copy_size:0 
checkpoint:30, log_time:964862, time_merge:0, copy_size:0 
checkpoint:31, log_time:965394, time_merge:0, copy_size:0 
checkpoint:32, log_time:966775, time_merge:0, copy_size:0 
checkpoint:33, log_time:965323, time_merge:0, copy_size:0 
checkpoint:34, log_time:967776, time_merge:0, copy_size:0 
checkpoint:35, log_time:965988, time_merge:0, copy_size:0 
checkpoint:36, log_time:966226, time_merge:0, copy_size:0 
checkpoint:37, log_time:967499, time_merge:0, copy_size:0 
checkpoint:38, log_time:964575, time_merge:0, copy_size:0 
checkpoint:39, log_time:966080, time_merge:0, copy_size:0 
checkpoint:40, log_time:965415, time_merge:0, copy_size:0 
checkpoint:41, log_time:968009, time_merge:0, copy_size:0 
checkpoint:42, log_time:966731, time_merge:0, copy_size:0 
checkpoint:43, log_time:924457, time_merge:2287272, copy_size:22592 
checkpoint:44, log_time:965901, time_merge:0, copy_size:0 
checkpoint:45, log_time:965793, time_merge:0, copy_size:0 
checkpoint:46, log_time:966228, time_merge:0, copy_size:0 
checkpoint:47, log_time:966880, time_merge:0, copy_size:0 
checkpoint:48, log_time:966496, time_merge:0, copy_size:0 
checkpoint:49, log_time:967545, time_merge:0, copy_size:0 
checkpoint:50, log_time:967488, time_merge:0, copy_size:0 
checkpoint:51, log_time:966570, time_merge:0, copy_size:0 
checkpoint:52, log_time:966370, time_merge:0, copy_size:0 
checkpoint:53, log_time:966673, time_merge:0, copy_size:0 
checkpoint:54, log_time:966079, time_merge:0, copy_size:0 
checkpoint:55, log_time:967003, time_merge:0, copy_size:0 
checkpoint:56, log_time:966061, time_merge:0, copy_size:0 
checkpoint:57, log_time:965830, time_merge:0, copy_size:0 
checkpoint:58, log_time:966561, time_merge:0, copy_size:0 
checkpoint:59, log_time:968350, time_merge:0, copy_size:0 
checkpoint:60, log_time:966515, time_merge:0, copy_size:0 
checkpoint:61, log_time:966189, time_merge:0, copy_size:0 
checkpoint:62, log_time:967145, time_merge:0, copy_size:0 
checkpoint:63, log_time:922451, time_merge:2443365, copy_size:26496 
checkpoint:64, log_time:967800, time_merge:0, copy_size:0 
checkpoint:65, log_time:966120, time_merge:0, copy_size:0 
checkpoint:66, log_time:966451, time_merge:0, copy_size:0 
checkpoint:67, log_time:967631, time_merge:0, copy_size:0 
checkpoint:68, log_time:966853, time_merge:0, copy_size:0 
checkpoint:69, log_time:967247, time_merge:0, copy_size:0 
checkpoint:70, log_time:966970, time_merge:0, copy_size:0 
checkpoint:71, log_time:967765, time_merge:0, copy_size:0 
checkpoint:72, log_time:967409, time_merge:0, copy_size:0 
checkpoint:73, log_time:968104, time_merge:0, copy_size:0 
checkpoint:74, log_time:967664, time_merge:0, copy_size:0 
checkpoint:75, log_time:967739, time_merge:0, copy_size:0 
checkpoint:76, log_time:967604, time_merge:0, copy_size:0 
checkpoint:77, log_time:968048, time_merge:0, copy_size:0 
checkpoint:78, log_time:968682, time_merge:0, copy_size:0 
checkpoint:79, log_time:968529, time_merge:0, copy_size:0 
checkpoint:80, log_time:967109, time_merge:0, copy_size:0 
checkpoint:81, log_time:967232, time_merge:0, copy_size:0 
checkpoint:82, log_time:967037, time_merge:0, copy_size:0 
checkpoint:83, log_time:969357, time_merge:0, copy_size:0 
checkpoint:84, log_time:966493, time_merge:2526806, copy_size:29056 
checkpoint:85, log_time:966788, time_merge:0, copy_size:0 
checkpoint:86, log_time:967785, time_merge:0, copy_size:0 
checkpoint:87, log_time:967715, time_merge:0, copy_size:0 
checkpoint:88, log_time:967911, time_merge:0, copy_size:0 
checkpoint:89, log_time:967457, time_merge:0, copy_size:0 
checkpoint:90, log_time:967864, time_merge:0, copy_size:0 
checkpoint:91, log_time:966995, time_merge:0, copy_size:0 
checkpoint:92, log_time:968244, time_merge:0, copy_size:0 
checkpoint:93, log_time:969802, time_merge:0, copy_size:0 
checkpoint:94, log_time:967389, time_merge:0, copy_size:0 
checkpoint:95, log_time:967880, time_merge:0, copy_size:0 
checkpoint:96, log_time:969225, time_merge:0, copy_size:0 
checkpoint:97, log_time:968646, time_merge:0, copy_size:0 
checkpoint:98, log_time:968192, time_merge:0, copy_size:0 
checkpoint:99, log_time:968187, time_merge:0, copy_size:0 
checkpoint:100, log_time:967640, time_merge:0, copy_size:0 
checkpoint:101, log_time:969821, time_merge:0, copy_size:0 
checkpoint:102, log_time:968143, time_merge:0, copy_size:0 
checkpoint:103, log_time:968397, time_merge:0, copy_size:0 
checkpoint:104, log_time:967819, time_merge:2722203, copy_size:32448 
checkpoint:105, log_time:968303, time_merge:0, copy_size:0 
checkpoint:106, log_time:967874, time_merge:0, copy_size:0 
checkpoint:107, log_time:968384, time_merge:0, copy_size:0 
checkpoint:108, log_time:968627, time_merge:0, copy_size:0 
checkpoint:109, log_time:968706, time_merge:0, copy_size:0 
checkpoint:110, log_time:969177, time_merge:0, copy_size:0 
checkpoint:111, log_time:968539, time_merge:0, copy_size:0 
checkpoint:112, log_time:969781, time_merge:0, copy_size:0 
checkpoint:113, log_time:968657, time_merge:0, copy_size:0 
checkpoint:114, log_time:967210, time_merge:0, copy_size:0 
checkpoint:115, log_time:968182, time_merge:0, copy_size:0 
checkpoint:116, log_time:968292, time_merge:0, copy_size:0 
checkpoint:117, log_time:968682, time_merge:0, copy_size:0 
checkpoint:118, log_time:968815, time_merge:0, copy_size:0 
checkpoint:119, log_time:968842, time_merge:0, copy_size:0 
checkpoint:120, log_time:968316, time_merge:0, copy_size:0 
checkpoint:121, log_time:970902, time_merge:0, copy_size:0 
checkpoint:122, log_time:968342, time_merge:0, copy_size:0 
checkpoint:123, log_time:969018, time_merge:0, copy_size:0 
checkpoint:124, log_time:949074, time_merge:2898032, copy_size:36288 
checkpoint:125, log_time:968469, time_merge:0, copy_size:0 
checkpoint:126, log_time:968736, time_merge:0, copy_size:0 
checkpoint:127, log_time:969006, time_merge:0, copy_size:0 
checkpoint:128, log_time:969925, time_merge:0, copy_size:0 
checkpoint:129, log_time:970060, time_merge:0, copy_size:0 
checkpoint:130, log_time:969779, time_merge:0, copy_size:0 
checkpoint:131, log_time:969480, time_merge:0, copy_size:0 
checkpoint:132, log_time:970362, time_merge:0, copy_size:0 
checkpoint:133, log_time:969307, time_merge:0, copy_size:0 
checkpoint:134, log_time:971742, time_merge:0, copy_size:0 
checkpoint:135, log_time:969751, time_merge:0, copy_size:0 
checkpoint:136, log_time:970318, time_merge:0, copy_size:0 
checkpoint:137, log_time:968746, time_merge:0, copy_size:0 
checkpoint:138, log_time:968969, time_merge:0, copy_size:0 
checkpoint:139, log_time:970126, time_merge:0, copy_size:0 
checkpoint:140, log_time:969345, time_merge:0, copy_size:0 
checkpoint:141, log_time:969484, time_merge:0, copy_size:0 
checkpoint:142, log_time:969955, time_merge:0, copy_size:0 
checkpoint:143, log_time:969736, time_merge:0, copy_size:0 
checkpoint:144, log_time:927762, time_merge:3035371, copy_size:40128 
checkpoint:145, log_time:968228, time_merge:0, copy_size:0 
checkpoint:146, log_time:969236, time_merge:0, copy_size:0 
checkpoint:147, log_time:969052, time_merge:0, copy_size:0 
checkpoint:148, log_time:969478, time_merge:0, copy_size:0 
checkpoint:149, log_time:969630, time_merge:0, copy_size:0 
checkpoint:150, log_time:970021, time_merge:0, copy_size:0 
checkpoint:151, log_time:968898, time_merge:0, copy_size:0 
checkpoint:152, log_time:970096, time_merge:0, copy_size:0 
checkpoint:153, log_time:968915, time_merge:0, copy_size:0 
