spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:1514484, time_merge:61865599, copy_size:0 
checkpoint:2, log_time:985796, time_merge:0, copy_size:0 
checkpoint:3, log_time:986011, time_merge:2890309, copy_size:98944 
checkpoint:4, log_time:982036, time_merge:0, copy_size:0 
checkpoint:5, log_time:984660, time_merge:3434645, copy_size:149184 
checkpoint:6, log_time:984144, time_merge:0, copy_size:0 
checkpoint:7, log_time:980803, time_merge:3870892, copy_size:184000 
checkpoint:8, log_time:983200, time_merge:0, copy_size:0 
checkpoint:9, log_time:978544, time_merge:4782763, copy_size:229696 
checkpoint:10, log_time:977507, time_merge:0, copy_size:0 
checkpoint:11, log_time:980960, time_merge:4526149, copy_size:210944 
checkpoint:12, log_time:979336, time_merge:0, copy_size:0 
checkpoint:13, log_time:974696, time_merge:4890794, copy_size:235840 
checkpoint:14, log_time:977982, time_merge:0, copy_size:0 
checkpoint:15, log_time:975467, time_merge:5233796, copy_size:258624 
checkpoint:16, log_time:976104, time_merge:0, copy_size:0 
checkpoint:17, log_time:975525, time_merge:5002011, copy_size:246848 
checkpoint:18, log_time:973934, time_merge:0, copy_size:0 
checkpoint:19, log_time:974393, time_merge:5351500, copy_size:260032 
checkpoint:20, log_time:973445, time_merge:0, copy_size:0 
