spawn telnet localhost 3458
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:77518, time_merge:269049, copy_size:0 
checkpoint:2, log_time:54882, time_merge:3915888, copy_size:237568 
checkpoint:3, log_time:54711, time_merge:588543, copy_size:36864 
checkpoint:4, log_time:52640, time_merge:5140576, copy_size:331776 
checkpoint:5, log_time:53673, time_merge:4054678, copy_size:278528 
checkpoint:6, log_time:54897, time_merge:3259318, copy_size:229376 
checkpoint:7, log_time:54669, time_merge:4195655, copy_size:299008 
checkpoint:8, log_time:52753, time_merge:6736501, copy_size:455168 
checkpoint:9, log_time:53381, time_merge:2899801, copy_size:205312 
checkpoint:10, log_time:53415, time_merge:1662658, copy_size:114688 
checkpoint:11, log_time:54678, time_merge:930579, copy_size:61440 
checkpoint:12, log_time:52870, time_merge:5979398, copy_size:422400 
checkpoint:13, log_time:53714, time_merge:2044858, copy_size:143360 
checkpoint:14, log_time:54840, time_merge:4238667, copy_size:299520 
checkpoint:15, log_time:54759, time_merge:1762349, copy_size:122880 
checkpoint:16, log_time:53049, time_merge:6051315, copy_size:430592 
checkpoint:17, log_time:53523, time_merge:752095, copy_size:49152 
checkpoint:18, log_time:54678, time_merge:757365, copy_size:49152 
checkpoint:19, log_time:54846, time_merge:3590425, copy_size:254464 
checkpoint:20, log_time:53139, time_merge:3323993, copy_size:233472 
checkpoint:21, log_time:54696, time_merge:3039908, copy_size:212992 
checkpoint:22, log_time:54750, time_merge:3653269, copy_size:258048 
checkpoint:23, log_time:54862, time_merge:4400913, copy_size:311808 
checkpoint:24, log_time:53304, time_merge:4132652, copy_size:290816 
checkpoint:25, log_time:54678, time_merge:2681158, copy_size:188416 
checkpoint:26, log_time:54681, time_merge:2506924, copy_size:176128 
checkpoint:27, log_time:54723, time_merge:2750935, copy_size:192512 
checkpoint:28, log_time:53159, time_merge:3135978, copy_size:217088 
checkpoint:29, log_time:54846, time_merge:4115651, copy_size:290816 
checkpoint:30, log_time:54756, time_merge:3711377, copy_size:262144 
checkpoint:31, log_time:54891, time_merge:4424284, copy_size:316416 
checkpoint:32, log_time:53340, time_merge:4263622, copy_size:299008 
checkpoint:33, log_time:54756, time_merge:3661121, copy_size:258048 
checkpoint:34, log_time:54783, time_merge:2279034, copy_size:159744 
checkpoint:35, log_time:54708, time_merge:1259504, copy_size:86016 
checkpoint:36, log_time:52907, time_merge:5599117, copy_size:397312 
checkpoint:37, log_time:54705, time_merge:3974779, copy_size:283136 
checkpoint:38, log_time:54859, time_merge:4524737, copy_size:320000 
checkpoint:39, log_time:54831, time_merge:4431345, copy_size:311808 
checkpoint:40, log_time:53198, time_merge:2809866, copy_size:192512 
checkpoint:41, log_time:54789, time_merge:2666606, copy_size:188416 
checkpoint:42, log_time:54861, time_merge:3101038, copy_size:217088 
checkpoint:43, log_time:54832, time_merge:3197538, copy_size:225280 
checkpoint:44, log_time:53896, time_merge:4850527, copy_size:340480 
checkpoint:45, log_time:54738, time_merge:1827938, copy_size:126976 
checkpoint:46, log_time:54702, time_merge:3147724, copy_size:221696 
checkpoint:47, log_time:54798, time_merge:3772342, copy_size:266240 
checkpoint:48, log_time:53129, time_merge:4985822, copy_size:352256 
checkpoint:49, log_time:54690, time_merge:2526828, copy_size:176128 
checkpoint:50, log_time:54693, time_merge:3949447, copy_size:278528 
checkpoint:51, log_time:54831, time_merge:4174908, copy_size:295424 
