spawn telnet localhost 3459
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:1517862, time_merge:61966062, copy_size:0 
checkpoint:2, log_time:987297, time_merge:0, copy_size:0 
checkpoint:3, log_time:1018387, time_merge:3470359, copy_size:97664 
checkpoint:4, log_time:1001051, time_merge:0, copy_size:0 
checkpoint:5, log_time:1007462, time_merge:4311726, copy_size:155264 
checkpoint:6, log_time:1025841, time_merge:0, copy_size:0 
checkpoint:7, log_time:1031118, time_merge:4891125, copy_size:164480 
checkpoint:8, log_time:1030445, time_merge:0, copy_size:0 
checkpoint:9, log_time:1031858, time_merge:4844074, copy_size:164288 
checkpoint:10, log_time:1034565, time_merge:0, copy_size:0 
checkpoint:11, log_time:1038041, time_merge:5422086, copy_size:187968 
checkpoint:12, log_time:1022448, time_merge:0, copy_size:0 
checkpoint:13, log_time:1103260, time_merge:10175290, copy_size:382784 
checkpoint:14, log_time:1037057, time_merge:0, copy_size:0 
checkpoint:15, log_time:1074513, time_merge:8736462, copy_size:332608 
checkpoint:16, log_time:1039134, time_merge:0, copy_size:0 
checkpoint:17, log_time:1063402, time_merge:8447278, copy_size:318592 
checkpoint:18, log_time:1044041, time_merge:0, copy_size:0 
checkpoint:19, log_time:1052530, time_merge:7925017, copy_size:302848 
checkpoint:20, log_time:1032158, time_merge:0, copy_size:0 
checkpoint:21, log_time:1141798, time_merge:12799624, copy_size:474048 
checkpoint:22, log_time:1044122, time_merge:0, copy_size:0 
checkpoint:23, log_time:1066359, time_merge:8921909, copy_size:337408 
checkpoint:24, log_time:1033525, time_merge:0, copy_size:0 
checkpoint:25, log_time:1243489, time_merge:14184965, copy_size:537984 
checkpoint:26, log_time:1042784, time_merge:0, copy_size:0 
checkpoint:27, log_time:1100746, time_merge:10468605, copy_size:403264 
checkpoint:28, log_time:1030486, time_merge:0, copy_size:0 
checkpoint:29, log_time:1293333, time_merge:15667098, copy_size:592384 
checkpoint:30, log_time:1040625, time_merge:0, copy_size:0 
checkpoint:31, log_time:1106055, time_merge:10658999, copy_size:411648 
checkpoint:32, log_time:1043338, time_merge:0, copy_size:0 
checkpoint:33, log_time:1136382, time_merge:12009365, copy_size:454784 
checkpoint:34, log_time:1049586, time_merge:0, copy_size:0 
checkpoint:35, log_time:1301019, time_merge:16546245, copy_size:632896 
checkpoint:36, log_time:1030083, time_merge:0, copy_size:0 
checkpoint:37, log_time:1521088, time_merge:20552507, copy_size:790080 
checkpoint:38, log_time:1044381, time_merge:0, copy_size:0 
checkpoint:39, log_time:1217984, time_merge:13920776, copy_size:520704 
checkpoint:40, log_time:1038550, time_merge:0, copy_size:0 
checkpoint:41, log_time:1180513, time_merge:13131467, copy_size:494336 
checkpoint:42, log_time:1040418, time_merge:0, copy_size:0 
checkpoint:43, log_time:1489340, time_merge:19924665, copy_size:764480 
checkpoint:44, log_time:1043157, time_merge:0, copy_size:0 
checkpoint:45, log_time:1208032, time_merge:13756173, copy_size:526528 
checkpoint:46, log_time:1045204, time_merge:0, copy_size:0 
checkpoint:47, log_time:1594124, time_merge:21639918, copy_size:832192 
checkpoint:48, log_time:1044316, time_merge:0, copy_size:0 
checkpoint:49, log_time:1036943, time_merge:0, copy_size:0 
checkpoint:50, log_time:1606555, time_merge:16608500, copy_size:647616 
checkpoint:51, log_time:1029421, time_merge:0, copy_size:0 
checkpoint:52, log_time:1861737, time_merge:20217413, copy_size:790144 
checkpoint:53, log_time:1014214, time_merge:0, copy_size:0 
checkpoint:54, log_time:1839651, time_merge:16785944, copy_size:704192 
checkpoint:55, log_time:1012448, time_merge:0, copy_size:0 
checkpoint:56, log_time:1807223, time_merge:16703566, copy_size:695488 
checkpoint:57, log_time:1015557, time_merge:0, copy_size:0 
checkpoint:58, log_time:2114448, time_merge:29277232, copy_size:1165504 
checkpoint:59, log_time:1023177, time_merge:0, copy_size:0 
checkpoint:60, log_time:1505359, time_merge:16991480, copy_size:684800 
checkpoint:61, log_time:1026103, time_merge:0, copy_size:0 
checkpoint:62, log_time:1580351, time_merge:18025771, copy_size:710080 
checkpoint:63, log_time:1027803, time_merge:0, copy_size:0 
checkpoint:64, log_time:1409342, time_merge:15912669, copy_size:634880 
checkpoint:65, log_time:1039082, time_merge:0, copy_size:0 
checkpoint:66, log_time:1385170, time_merge:16270512, copy_size:634816 
checkpoint:67, log_time:1024665, time_merge:0, copy_size:0 
checkpoint:68, log_time:1457859, time_merge:16896176, copy_size:665280 
checkpoint:69, log_time:1024298, time_merge:0, copy_size:0 
checkpoint:70, log_time:1597100, time_merge:18349604, copy_size:725888 
checkpoint:71, log_time:1021224, time_merge:0, copy_size:0 
checkpoint:72, log_time:1755057, time_merge:20201233, copy_size:798656 
checkpoint:73, log_time:1020424, time_merge:0, copy_size:0 
checkpoint:74, log_time:1771790, time_merge:21003789, copy_size:826816 
checkpoint:75, log_time:1019523, time_merge:0, copy_size:0 
checkpoint:76, log_time:1769895, time_merge:21491984, copy_size:851840 
checkpoint:77, log_time:1019442, time_merge:0, copy_size:0 
checkpoint:78, log_time:1761627, time_merge:20655584, copy_size:816704 
checkpoint:79, log_time:1019436, time_merge:0, copy_size:0 
checkpoint:80, log_time:1799573, time_merge:22340406, copy_size:885696 
checkpoint:81, log_time:1027633, time_merge:0, copy_size:0 
checkpoint:82, log_time:2077946, time_merge:32477005, copy_size:1266880 
checkpoint:83, log_time:1016255, time_merge:0, copy_size:0 
checkpoint:84, log_time:2026679, time_merge:27773809, copy_size:1100928 
checkpoint:85, log_time:1016011, time_merge:0, copy_size:0 
checkpoint:86, log_time:1991652, time_merge:28251128, copy_size:1115584 
checkpoint:87, log_time:1020810, time_merge:0, copy_size:0 
checkpoint:88, log_time:1831762, time_merge:22594326, copy_size:883072 
checkpoint:89, log_time:1026021, time_merge:0, copy_size:0 
checkpoint:90, log_time:1591832, time_merge:19329630, copy_size:749440 
checkpoint:91, log_time:1027670, time_merge:0, copy_size:0 
